N°,OFICINAS REGIONALES/U.O.,DEPARTAMENTO,PROVINCIA,DISTRITO,CODIGO SIO DNI NUM,SIGLA TIPO DE LOCAL,ESTADO,CENTRO DE ATENCIÓN,HORARIO DE ATENCIÓN AL PUBLICO, ¿Este Centro de Atención toma fotografía? , ¿Este Centro de Atención entrega DNI Electrónico? , TRAMITE DE DNI MAYOR , TRAMITE DE DNI MENOR , ENTREGAS DE DNI , INSCRIPCION DE REGISTROS CIVILES , CERTIFICACION DE REGISTROS CIVILES , CERTIFICACION DEL RUIPN , EREP ,NOMBRE DE LA VIA
102,04.- IQUITOS,LORETO,LORETO,NAUTA,433,PAP,OPERATIVO,PAP NAUTA,08:45 a 16:45,SI,NO ,SI,SI,SI,NO,SI,SI,NO,Cal. Manuel Pacaya N° 570 centro cívico
103,04.- IQUITOS,LORETO,REQUENA,REQUENA,434,PAP,OPERATIVO,PAP REQUENA,08:45 a 16:45,SI,NO ,SI,SI,SI,NO,SI,SI,NO,Calle San Antonio S/N Anexo Hotel Municipal
104,04.- IQUITOS,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,436,PAP,OPERATIVO,PAP MARISCAL RAMON CASTILLA - CABALLOCOCHA,08:45 a 16:45,SI,NO ,SI,SI,SI,NO,SI,SI,NO,Calle Ayacucho Mz. 22 Lt. 4 C con Amazonas S/N - Local Municipal
105,04.- IQUITOS,LORETO,MAYNAS,SAN JUAN BAUTISTA,438,OR,OPERATIVO,OR SAN JUAN BAUTISTA,08:45 a 16:45,SI,NO ,SI,SI,SI,SI,SI,SI,NO,Avenida Abelardo Quiñones Nº 2371 Km. 2.5 
106,04.- IQUITOS,LORETO,MARISCAL RAMON CASTILLA,YAVARI,439,PAP,OPERATIVO,PAP YAVARI,08:45 a 16:45,NO,NO ,SI,SI,SI,NO,NO,NO,NO,Calle Nueva Jerusalen S/N Local Municipal
107,04.- IQUITOS,LORETO,PUTUMAYO,PUTUMAYO,440,PAP,OPERATIVO,PAP PUTUMAYO,08:45 a 16:45,NO,NO ,SI,SI,SI,NO,NO,NO,NO,Calle Arequipa S/N
108,04.- IQUITOS,LORETO,MAYNAS,PUNCHANA,449,PAP,OPERATIVO,PAP PUNCHANA,08:45 a 16:45,SI,NO ,SI,SI,SI,NO,SI,NO,NO,"Calle Cusco S/N, cuadra 5, esquina con Trujillo."
109,04.- IQUITOS,LORETO,REQUENA,REQUENA,645,ORA,OPERATIVO,ORA REQUENA,08:45 a 16:30,SI,NO ,NO,SI,SI,SI,NO,NO,NO,Calle Mártires del Petroléo S/N - Malecon Grau
110,04.- IQUITOS,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,711,ORA,OPERATIVO,ORA CABALLOCOCHA,08:45 a 16:30,si,NO ,NO,SI,SI,SI,NO,NO,NO,Calle Progreso N° 425
111,04.- IQUITOS,LORETO,MAYNAS,PUNCHANA,806,MAC,OPERATIVO,MAC - LORETO,08:30 a 16:30,SI,NO ,SI,SI,SI,NO,SI,SI,NO,Avenida La Marina Nº  1338
112,04.- IQUITOS,LORETO,MAYNAS,IQUITOS,600019,PVM,OPERATIVO,PVM - OR IQUITOS,08:45 a 16:45,NO,NO,SI,NO,NO,NO,SI,NO,NO,Jirón Próspero Nº 201
113,05.- CHIMBOTE,ANCASH,SANTA,CHIMBOTE,33,OR,OPERATIVO,OR SANTA,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Enrique Palacios Nº 504-506 esquina con Jr. Ladislao Espinar Nº 401
114,05.- CHIMBOTE,ANCASH,SANTA,CHIMBOTE,1182,MAC,OPERATIVO,CENTRO MAC ANCASH (MegaPlaza Chimbote),08:30 a 16:30,SI,SI,SI,SI,SI,NO,SI,SI,SI," Mz. B Lt. 1-A-1-A2 Sector Parque Gran Chavín, Centro Comercial Megaplaza Chimbote"
115,05.- CHIMBOTE,ANCASH,SANTA,NUEVO CHIMBOTE,137,AG,OPERATIVO,AG NUEVO CHIMBOTE,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI, Mz. 74-75 Lt. 1 del Centro Cívico de la Municipalidad Distrital de Nuevo Chimbote
116,05.- CHIMBOTE,ANCASH,HUARAZ,HUARAZ,21,AG,OPERATIVO,AG HUARAZ,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,"Jirón Agustin Loly N° 756, Mz. 29A Lt. 27, Barrio La Soledad Alta, intersección con Jr. Agustin Mejía"
117,05.- CHIMBOTE,ANCASH,HUAYLAS,CARAZ,27,AG,OPERATIVO,AG HUAYLAS,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Raimondi N° 215
118,05.- CHIMBOTE,ANCASH,HUARI,HUARI,28,AG,OPERATIVO,AG HUARI,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Libertad Mz. P2 Lt. 003
119,05.- CHIMBOTE,ANCASH,POMABAMBA,POMABAMBA,31,AG,OPERATIVO,AG POMABAMBA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Huaraz Nº 369
120,05.- CHIMBOTE,ANCASH,SIHUAS,SIHUAS,34,AG,OPERATIVO,AG SIHUAS,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,"Jirón Gomes Arias 106, Barrio Pingullo Alto"
121,05.- CHIMBOTE,ANCASH,PALLASCA,PAMPAS,518,AG,OPERATIVO,AG PAMPAS,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Calle Plaza de Armas S/N - Municipalidad Distrital de Pampas - 1er piso
122,05.- CHIMBOTE,ANCASH,CASMA,CASMA,25,PAP,OPERATIVO,PAP CASMA,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO, Sector Hijuela Mz. C Lt. 13 del Centro Cívico de la Municipalidad Provincial de Casma
123,05.- CHIMBOTE,ANCASH,HUARMEY,HUARMEY,39,PAP,OPERATIVO,PAP HUARMEY,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO, 1er. Pabellón S/N del Centro Cívico de la Municipalidad Provincial de Huarmey
124,05.- CHIMBOTE,ANCASH,RECUAY,RECUAY,32,PAP,OPERATIVO,PAP RECUAY,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Calle Plaza de Armas Nº 180 Municipalidad Distrital de Recuay
125,05.- CHIMBOTE,ANCASH,CARHUAZ,CARHUAZ,24,PAP,OPERATIVO,PAP CARHUAZ,08:45 a 16:45,SI,NO,SI,SI,SI,NO,NO,NO,NO,Avenida La Merced Nº 1006
126,05.- CHIMBOTE,ANCASH,YUNGAY,YUNGAY,35,PAP,OPERATIVO,PAP YUNGAY,08:45 a 16:45,SI,NO,SI,SI,SI,NO,NO,NO,NO,Avenida Arias Grazziani Lt. 1-2 Centro Cívico de la Municipalidad Provincial de Yungay
127,05.- CHIMBOTE,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUÍS,37,PAP,OPERATIVO,PAP CARLOS FERMÍN FITZCARRALD,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Avenida Ramón Castilla N° 320 - 1er. piso Centro Cívico de la Municipalidad Provincial de C. F. Fitzcarrald
128,05.- CHIMBOTE,ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,29,PAP,OPERATIVO,PAP MARISCAL LUZURIAGA,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,"Jirón San Pablo S/N, Centro Cívico de la Municipalidad Provincial de Mariscal Luzuriaga"
129,05.- CHIMBOTE,ANCASH,SANTA,CHIMBOTE,140,ORA,OPERATIVO,ORA HOSPITAL LA CALETA (Chimbote),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida Malecon Grau S/N
130,05.- CHIMBOTE,ANCASH,SANTA,CHIMBOTE,57,ORA,OPERATIVO,ORA HOSPITAL ESSALUD III CHIMBOTE,08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida Circunvalación Nº 119 Urb. Laderas del Norte
131,05.- CHIMBOTE,ANCASH,SANTA,NUEVO CHIMBOTE,56,ORA,OPERATIVO,ORA HOSPITAL ELEAZAR GUZMÁN BARRÓN (Nuevo Chimbote),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,"Avenida Brasil S/N, Urb. Santa Cristina (Hospital Regional Eleazar Guzmán Barrón puerta de Emergencia)"
132,05.- CHIMBOTE,ANCASH,HUARAZ,HUARAZ,295,ORA,OPERATIVO,ORA HOSPITAL VÍCTOR RAMOS GUARDIA (Huaraz),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,"Avenida Mariscal Luzuriaga cdra. 01, cruce con Jr. Pedro Villón cdra. 10"
133,05.- CHIMBOTE,ANCASH,HUAYLAS,CARAZ,595,ORA,OPERATIVO,ORA HOSPITAL DE APOYO CARAZ,08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida 9 de Octubre S/N
134,05.- CHIMBOTE,ANCASH,HUARI,HUARI,748,ORA,OPERATIVO,ORA HOSPITAL DE APOYO HUARI,08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida Circunvalación Baja S/N
135,05.- CHIMBOTE,ANCASH,CORONGO,CORONGO,26,PANP,DESPLAZAMIENTO,PANP CORONGO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,"Jirón Grau N° 206, primer piso de la Municipalidad Provincial de Corongo"
136,05.- CHIMBOTE,ANCASH,PALLASCA,CABANA,30,PANP,DESPLAZAMIENTO,PANP PALLASCA,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,"Avenida Plaza de Armas N° 103, primer piso de la Municipalidad Provincial de Pallasca"
137,05.- CHIMBOTE,ANCASH,AIJA,AIJA,22,PANP,DESPLAZAMIENTO,PANP AIJA,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,"Jirón Gavino Uribe S/N Plaza de Armas, 1er piso de la Municipalidad Provincial de Aija"
138,05.- CHIMBOTE,ANCASH,BOLOGNESI,CHIQUIAN,23,PANP,DESPLAZAMIENTO,PANP BOLOGNESI,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,"Jirón Tacna 320, primer piso del Centro Cívico de la Municipalidad Distrital de Chiquian"
139,05.- CHIMBOTE,ANCASH,YUNGAY,YANAMA,741,AG,DESPLAZAMIENTO,AG YANAMA,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,Jirón Yungay S/N cdra. 03
140,05.- CHIMBOTE,ANCASH,MARISCAL LUZURIAGA,LLUMPA,470,PANP,DESPLAZAMIENTO,PANP LLUMPA,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO, Plaza de Armas S/N
141,05.- CHIMBOTE,ANCASH,ASUNCION,CHACAS,38,PANP,DESPLAZAMIENTO,PANP ASUNCIÓN,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,Jirón Coliseo de Chacas S/N
142,05.- CHIMBOTE,ANCASH,HUARI,CHAVIN DE HUANTAR,714,PANP,DESPLAZAMIENTO,PANP CHAVÍN DE HUANTAR,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,"Jirón San Martin S/N, 1er piso del Centro Cívico de la Municipalidad Distrital de Chavin de Huantar"
143,05.- CHIMBOTE,ANCASH,HUARI,SAN MARCOS,715,PANP,DESPLAZAMIENTO,PANP SAN MARCOS ,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,"Jirón Progreso 332, Plaza de Armas de San Marcos"
144,05.- CHIMBOTE,ANCASH,HUACAYBAMBA,HUACAYBAMBA,249,PANP,DESPLAZAMIENTO,PANP HUACAYBAMBA,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,"Avenida El Ejercito S/N Barrio San Pedro, 1er piso Municipalidad Provincial de Huacaybamba"
145,05.- CHIMBOTE,ANCASH,ANTONIO RAIMONDI,LLAMELLIN,36,PANP,DESPLAZAMIENTO,PANP ANTONIO RAIMONDI,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,Jirón Simón Bolívar N° 229
146,05.- CHIMBOTE,ANCASH,HUARI,UCO,766,PANP,DESPLAZAMIENTO,PANP UCO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,"Jirón Nicolas de Piérola S/N Plaza de Armas, 1er piso de la Municipalidad Distrital de Uco"
147,06.- HUANCAYO,JUNIN,HUANCAYO,EL TAMBO,281,OR,OPERATIVO,OR HUANCAYO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida MARISCAL CASTILLA Nº 1801
148,06.- HUANCAYO,JUNIN,TARMA,TARMA,285,AG,OPERATIVO,AG TARMA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón AREQUIPA Nº 939
149,06.- HUANCAYO,JUNIN,CHANCHAMAYO,LA MERCED,288,AG,OPERATIVO,AG CHANCHAMAYO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Prolongación TARMA Nº 236
150,06.- HUANCAYO,JUNIN,SATIPO,PANGOA,146,PAP,OPERATIVO,PAP PANGOA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Calle 07 DE JUNIO Nº 641 PLAZA PRINCIPAL CENTRO CIVICO
151,06.- HUANCAYO,JUNIN,SATIPO,MAZAMARI,279,PAP,OPERATIVO,PAP MAZAMARI,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Avenida SAN JUAN N° 377
152,06.- HUANCAYO,JUNIN,CONCEPCION,CONCEPCIÓN,282,PAP,OPERATIVO,PAP CONCEPCIÓN,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón RICARDO PALMA S/N MERCADO MODELO INTERIOR 1 
153,06.- HUANCAYO,JUNIN,JAUJA,JAUJA,283,PAP,OPERATIVO,PAP JAUJA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón SUCRE N° 889
154,06.- HUANCAYO,JUNIN,JUNIN,JUNIN,284,PAP,OPERATIVO,PAP JUNIN,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Jirón SIMÓN BOLIVAR N° 820
155,06.- HUANCAYO,JUNIN,YAULI,SANTA ROSA DE SACCO,286,PAP,OPERATIVO,PAP YAULI,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Avenida MIGUEL GRAU N° 309
156,06.- HUANCAYO,JUNIN,SATIPO,SATIPO,287,PAP,OPERATIVO,PAP SATIPO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida MICAELA BASTIDAS Y JR. AUGUSTO B. LEGUIA CENTRO CIVICO 
157,06.- HUANCAYO,JUNIN,CHUPACA,CHUPACA,289,PAP,OPERATIVO,PAP CHUPACA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón GRAU N° 195 - CENTRO CÍVICO
158,06.- HUANCAYO,JUNIN,CHANCHAMAYO,PICHANAQUI,292,PAP,OPERATIVO,PAP PICHANAQUI,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón INDEPENDENCIA S/N COLISEO MUNICIPAL
159,06.- HUANCAYO,JUNIN,HUANCAYO,HUANCAYO,215,ORA,OPERATIVO,"ORA REGIONAL DOCENTE MATERNO INFANTIL ""EL CARMEN""",08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón PUNO Nº 911
160,06.- HUANCAYO,JUNIN,TARMA,TARMA,733,ORA,OPERATIVO,ORA DE APOYO FELIX MAYORCA SOTO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida PACHECO Nº 362
161,06.- HUANCAYO,JUNIN,JAUJA ,JAUJA ,734,ORA,OPERATIVO,ORA HOSPITAL DOMINGO OLAVEGOYA,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón SAN MARTÍN Nº 1153 URB. OLAVEGOYA 
162,06.- HUANCAYO,JUNIN,SATIPO,SATIPO,735,ORA,OPERATIVO,ORA DE APOYO MANUEL HIGA ARAKAKI,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Calle DANIEL ALCIDES CARRIÓN Nº 398
163,06.- HUANCAYO,JUNIN,CHANCHAMAYO ,PICHANAQUI,736,ORA,OPERATIVO,ORA HOSPITAL DE APOYO PICHANAQUI,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida SAN MARTÍN S/N PICHANAKI
164,06.- HUANCAYO,JUNIN,HUANCAYO,HUANCAYO,763,ORA,DESPLAZAMIENTO,ORA LA LIBERTAD,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón LA VITORIA 1001
165,06.- HUANCAYO,JUNIN,CHANCHAMAYO,LA MERCED,764,ORA,OPERATIVO,ORA HOSPITAL REGIONAL DOCENTE DE MEDICINA TROPICAL DR. JULIO DEMARINI CARO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida DANIEL A. CARRION S/N AV. PAMPA DEL CARMEN S/N
166,06.- HUANCAYO,JUNIN,HUANCAYO,EL TAMBO,142,ORA,DESPLAZAMIENTO,ORA HOSPITAL NACIONAL RAMIRO PRIALE,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida INDEPENDENCIA Nº 266
167,06.- HUANCAYO,JUNIN,HUANCAYO,CHILCA,765,ORA,DESPLAZAMIENTO,ORA CHILCA,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón HUMBOLT Nº 900
168,06.- HUANCAYO,JUNIN,HUANCAYO,HUANCAYO,1129,MAC,OPERATIVO,MAC JUNIN,08:30 a 16:30,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida FERROCARRIL N° 146 - 150 - CENTRO COMERCIAL OPEN PLAZA
169,06.- HUANCAYO,JUNIN,HUANCAYO,EL TAMBO,600017,PVM,OPERATIVO,PVM - OR HUANCAYO,08:45 a 16:45,NO,NO,SI,NO,NO,NO,SI,NO,NO,AVENIDA MARISCAL CASTILLA Nº 1801
170,07.- AYACUCHO,AYACUCHO,HUAMANGA,AYACUCHO,47,ORA,OPERATIVO,"ORA HOSPITAL REGIONAL DE AYACUCHO ""MIGUEL ANGEL MARISCAL LLERENA"" (MINSA)",08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,NO,Jirón Daniel Alcides Carrión S/N - 2da cuadra.
171,07.- AYACUCHO,AYACUCHO,LA MAR,AYNA,119,PAP,OPERATIVO,PAP AYNA -SAN FRANCISCO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Avenida 28 de Julio S/N San Francisco
172,07.- AYACUCHO,AYACUCHO,HUAMANGA,AYACUCHO,121,OR,OPERATIVO,OR HUAMANGA,08:45 a 16:45,si,si,si,si,si,si,si,si,SI,"Jirón San Martin Nº 473, 475, 477 y 477A"
173,07.- AYACUCHO,AYACUCHO,CANGALLO,CANGALLO,122,PAP,OPERATIVO,PAP CANGALLO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Maria Parado de Bellido Nº 205
174,07.- AYACUCHO,AYACUCHO,HUANTA,HUANTA,123,AG,OPERATIVO,AG HUANTA,08:45 a 16:45,si,si,si,si,si,si,si,si,SI,Jirón Ayacucho N° 305
175,07.- AYACUCHO,AYACUCHO,LA MAR,SAN MIGUEL,124,PAP,OPERATIVO,PAP LA MAR,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Maria Parado de Bellido S/N 
176,07.- AYACUCHO,AYACUCHO,VICTOR FAJARDO,HUANCAPI,127,PAP,OPERATIVO,PAP VICTOR FAJARDO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO, Plaza Principal Nº 127
177,07.- AYACUCHO,AYACUCHO,HUANCA SANCOS,SANCOS,128,PAP,OPERATIVO,PAP HUANCASANCOS,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Avenida Progreso S/N Consejo Provincial de Huanca Sancos
178,07.- AYACUCHO,AYACUCHO,VILCAS HUAMAN,VILCAS HUAMAN,129,PAP,OPERATIVO,PAP VILCASHUAMAN,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Avenida Los Incas Nº 222
179,07.- AYACUCHO,AYACUCHO,SUCRE,QUEROBAMBA,131,PAP,OPERATIVO,PAP SUCRE,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Jirón San Martin S/N  Plaza de Armas Consejo Provincial de Sucre
180,07.- AYACUCHO,AYACUCHO,HUANTA,HUANTA,213,ORA,OPERATIVO,"ORA HOSPITAL DE APOYO HUANTA ""DANIEL ALCIDES CARRION"" (MINSA)",08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,NO,Avenida Mariscal Castilla Nº 628
181,07.- AYACUCHO,AYACUCHO,LA MAR,SAN MIGUEL,454,ORA,DESPLAZAMIENTO,ORA SAN MIGUEL (MINSA),08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,NO,Avenida Ramon Castilla s/n
182,07.- AYACUCHO,AYACUCHO,CANGALLO,CANGALLO,455,ORA,OPERATIVO,ORA HOSPITAL DE APOYO CANGALLO (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Santa Rosa N° 110
183,07.- AYACUCHO,CUSCO,LA CONVENCION,PICHARI,172,PAP,OPERATIVO,PAP PICHARI,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Avenida BRASIL S/N
184,07.- AYACUCHO,APURIMAC,CHINCHEROS,CHINCHEROS,77,PAP,OPERATIVO,PAP CHINCHEROS,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Jirón COTABAMBAS N° 121
185,07.- AYACUCHO,AYACUCHO,LA MAR,SAMUGARI,500,PAP,OPERATIVO,PAP SAMUGARI -PALMAPAMPA,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Los Laureles S/N – Palmapampa Distrital de Samugari
186,07.- AYACUCHO,AYACUCHO,LA MAR,TAMBO,620,ORA,OPERATIVO,ORA TAMBO (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Lima s/n
187,07.- AYACUCHO,AYACUCHO,HUAMANGA,JESUS NAZARENO,628,ORA,OPERATIVO,ORA HOSPITAL DE APOYO JESUS NAZARENO (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Ciro Alegría Nº 547
188,07.- AYACUCHO,APURIMAC,ANDAHUAYLAS,TALAVERA,73,OR,OPERATIVO,OR ANDAHUAYLAS,08:45 a 16:45,si,si,si,si,si,si,si,si,SI,Jirón Amauta N° 311
189,07.- AYACUCHO,APURIMAC,CHINCHEROS,ANCCO HUALLO,458,ORA,OPERATIVO,ORA  CENTRO DE SALUD URIPA  (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida  Túpac Amaru S/N – URIPA
190,07.- AYACUCHO,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,459,ORA,OPERATIVO,ORA HOSPITAL REGIONAL DOCENTE  HUGO PESCE PESCETTO ANDAHUAYLAS (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida Hugo Pesce Pesceto S/N
191,07.- AYACUCHO,AYACUCHO,HUANTA,SIVIA,357,ORA,DESPLAZAMIENTO,ORA HOSPITAL DE APOYO DE SIVIA (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Gervacio Santillana S/N
192,07.- AYACUCHO,CUSCO,LA CONVENCION,KIMBIRI,699,ORA,DESPLAZAMIENTO,ORA CENTRO DE SALUD SAN JUAN DE KIMBIRI (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida Aeropuerto S/N
193,07.- AYACUCHO,CUSCO,LA CONVENCION,PICHARI,629,ORA,OPERATIVO,ORA HOSPITAL DE APOYO PICHARI (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Amazonas s/n
194,07.- AYACUCHO,APURIMAC,CHINCHEROS,CHINCHEROS,457,ORA,OPERATIVO,ORA HOSPITAL DE APOYO CHINCHEROS (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida Fernando Belaunde Terry S/N
195,07.- AYACUCHO,AYACUCHO,CANGALLO,LOS MOROCHUCOS,631,ORA,OPERATIVO,ORA PAMPA CANGALLO (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida María Arguedas S/N
196,07.- AYACUCHO,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,1186,ORA,DESPLAZAMIENTO,ORA SAN JUAN BAUTISTA,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,AV. MALVINAS S/N
197,08.- AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,52,ORA,OPERATIVO,ORA HOSPITAL REGIONAL HONORIO DELGADO ESPINOZA (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida Daniel Alcides Carrión N° 505
198,08.- AREQUIPA,TACNA,TACNA,TACNA,54,ORA,OPERATIVO,ORA TACNA (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Calle Blondel S/N
199,08.- AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,91,OR,OPERATIVO,OR AREQUIPA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Calle San Juan de Dios N° 122 y Santo Domingo N° 101
200,08.- AREQUIPA,AREQUIPA,CAYLLOMA,CHIVAY,92,PAP,OPERATIVO,PAP CAYLLOMA,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Calle Siglo XX S/N
201,08.- AREQUIPA,AREQUIPA,CAMANA,CAMANA,93,AG,OPERATIVO,AG CAMANA,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Avenida Mariscal Castilla N° 221
202,08.- AREQUIPA,AREQUIPA,CARAVELI,CARAVELÍ,94,PAP,DESPLAZAMIENTO,PAP CARAVELI,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Bolivar S/N
203,08.- AREQUIPA,AREQUIPA,CASTILLA,APLAO,95,PAP,OPERATIVO,PAP CASTILLA,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Calle Progreso S/N
204,08.- AREQUIPA,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,96,PAP,OPERATIVO,PAP CONDESUYOS,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Avenida Alameda S/N - Los Tres Errantes
205,08.- AREQUIPA,AREQUIPA,ISLAY,MOLLENDO,97,AG,OPERATIVO,AG ISLAY,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Calle Arequipa Nº 261 
206,08.- AREQUIPA,AREQUIPA,LA UNION,COTAHUASI,98,PAP,OPERATIVO,PAP LA UNION,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Calle Centenario N° 202 - Cotahuasi
