CENTROS DE ATENCIÓN DEL RENIEC A NIVEL NACIONAL A JULIO 2025;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
N°;CODIGO SIO DNI NUM;DEPARTAMENTO;PROVINCIA;DISTRITO;OFICINAS REGIONALES/U.O.;TIPO DE LOCAL;SIGLA TIPO DE LOCAL;CENTRO DE ATENCIÓN;HORARIO DE ATENCIÓN AL PUBLICO;NOMBRE DE LA VIA;"ESTADO
Operativo: Atiente de lunes a viernes
Deplazamiento: Atiende de acuerdo a la programación de RENIEC"; ¿Este Centro de Atención toma fotografía? ; ¿Este Centro de Atención entrega DNI Electrónico? ; TRAMITE DE DNI MAYOR ; TRAMITE DE DNI MENOR ; ENTREGAS DE DNI ; INSCRIPCION DE REGISTROS CIVILES ; CERTIFICACION DE REGISTROS CIVILES ; CERTIFICACION DEL RUIPN ; EREP ;;;
106;433;LORETO;LORETO;NAUTA;;;;PAP NAUTA;08:45 a 16:45;Cal. Manuel Pacaya N° 570 centro cívico;OPERATIVO;SI;NO ;SI;SI;SI;NO;SI;SI;NO;;;
107;434;LORETO;REQUENA;REQUENA;;;;PAP REQUENA;08:45 a 16:45;Calle San Antonio S/N Anexo Hotel Municipal;OPERATIVO;SI;NO ;SI;SI;SI;NO;SI;SI;NO;;;
108;436;LORETO;MARISCAL RAMON CASTILLA;RAMON CASTILLA;;;;PAP MARISCAL RAMON CASTILLA - CABALLOCOCHA;08:45 a 16:45;Calle Ayacucho Mz. 22 Lt. 4 C con Amazonas S/N - Local Municipal;OPERATIVO;SI;NO ;SI;SI;SI;NO;SI;SI;NO;;;
109;438;LORETO;MAYNAS;SAN JUAN BAUTISTA;;;;OR SAN JUAN BAUTISTA;08:45 a 16:45;Avenida Abelardo Quiñones Nº 2371 Km. 2.5 ;OPERATIVO;SI;NO ;SI;SI;SI;SI;SI;SI;NO;;;
110;439;LORETO;MARISCAL RAMON CASTILLA;YAVARI;;;;PAP YAVARI;08:45 a 16:45;Calle Nueva Jerusalen S/N Local Municipal;OPERATIVO;NO;NO ;SI;SI;SI;NO;NO;NO;NO;;;
111;440;LORETO;PUTUMAYO;PUTUMAYO;;;;PAP PUTUMAYO;08:45 a 16:45;Calle Arequipa S/N;OPERATIVO;NO;NO ;SI;SI;SI;NO;NO;NO;NO;;;
112;449;LORETO;MAYNAS;PUNCHANA;;;;PAP PUNCHANA;08:45 a 16:45;Calle Cusco S/N, cuadra 5, esquina con Trujillo.;OPERATIVO;SI;NO ;SI;SI;SI;NO;SI;NO;NO;;;
113;645;LORETO;REQUENA;REQUENA;;;;ORA REQUENA;08:45 a 16:30;Calle Mártires del Petroléo S/N - Malecon Grau;OPERATIVO;SI;NO ;NO;SI;SI;SI;NO;NO;NO;;;
114;711;LORETO;MARISCAL RAMON CASTILLA;RAMON CASTILLA;;;;ORA CABALLOCOCHA;08:45 a 16:30;Calle Progreso N° 425;OPERATIVO;si;NO ;NO;SI;SI;SI;NO;NO;NO;;;
115;806;LORETO;MAYNAS;PUNCHANA;;;;MAC - LORETO;08:30 a 16:30;Avenida La Marina Nº  1338;OPERATIVO;SI;NO ;SI;SI;SI;NO;SI;SI;NO;;;
116;600019;LORETO;MAYNAS;IQUITOS;;;;AGENTE RENIEC - OR IQUITOS;08:45 a 16:45;Jirón Próspero Nº 201;OPERATIVO;NO;NO;SI;NO;NO;NO;SI;NO;NO;;;
117;339;LORETO;PUTUMAYO;TENIENTE MANUEL CLAVERO;;;;PANP SOPLIN VARGAS;08:45 a 16:45;Plaza de armas S/N;OPERATIVO;NO;NO ;SI;SI;SI;NO;NO;NO;NO;;;
118;33;ANCASH;SANTA;CHIMBOTE;;;;OR SANTA;08:45 a 16:45;Jirón Enrique Palacios Nº 504-506 esquina con Jr. Ladislao Espinar Nº 401;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
119;;ANCASH;SANTA;CHIMBOTE;;;;AGENTE RENIEC - MEGA PLAZA CHIMBOTE;08:45 a 16:45; Mz. B Lt. 1-A-1-A2 Sector Parque Gran Chavín, Centro Comercial Megaplaza Chimbote;OPERATIVO;NO;NO;NO;NO;NO;NO;SI;SI;NO;;;
120;1182;ANCASH;SANTA;CHIMBOTE;;;;MAC - ANCASH;08:30 a 16:30; Mz. B Lt. 1-A-1-A2 Sector Parque Gran Chavín, Centro Comercial Megaplaza Chimbote;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
121;137;ANCASH;SANTA;NUEVO CHIMBOTE;;;;AG NUEVO CHIMBOTE;08:45 a 16:45; Mz. 74-75 Lt. 1 del Centro Cívico de la Municipalidad Distrital de Nuevo Chimbote;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
122;21;ANCASH;HUARAZ;HUARAZ;;;;AG HUARAZ;08:45 a 16:45;Jirón Agustin Loly N° 756, Mz. 29A Lt. 27, Barrio La Soledad Alta, intersección con Jr. Agustin Mejía;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
123;27;ANCASH;HUAYLAS;CARAZ;;;;AG HUAYLAS;08:45 a 16:45;Jirón Raimondi N° 215;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
124;28;ANCASH;HUARI;HUARI;;;;AG HUARI;08:45 a 16:45;Jirón Libertad Mz. P2 Lt. 003;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
125;31;ANCASH;POMABAMBA;POMABAMBA;;;;AG POMABAMBA;08:45 a 16:45;Jirón Huaraz Nº 369;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
126;34;ANCASH;SIHUAS;SIHUAS;;;;AG SIHUAS;08:45 a 16:45;Jirón Gomes Arias 106, Barrio Pingullo Alto;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
127;518;ANCASH;PALLASCA;PAMPAS;;;;AG PAMPAS;08:45 a 16:45;Calle Plaza de Armas S/N - Municipalidad Distrital de Pampas - 1er piso;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;NO;;;
128;25;ANCASH;CASMA;CASMA;;;;PAP CASMA;08:45 a 16:45; Sector Hijuela Mz. C Lt. 13 del Centro Cívico de la Municipalidad Provincial de Casma;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;NO;;;
129;39;ANCASH;HUARMEY;HUARMEY;;;;PAP HUARMEY;08:45 a 16:45; 1er. Pabellón S/N del Centro Cívico de la Municipalidad Provincial de Huarmey;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;NO;;;
130;32;ANCASH;RECUAY;RECUAY;;;;PAP RECUAY;08:45 a 16:45;Calle Plaza de Armas Nº 180 Municipalidad Distrital de Recuay;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
131;24;ANCASH;CARHUAZ;CARHUAZ;;;;PAP CARHUAZ;08:45 a 16:45;Avenida La Merced Nº 1006;OPERATIVO;SI;SI;SI;SI;SI;NO;NO;NO;NO;;;
132;35;ANCASH;YUNGAY;YUNGAY;;;;PAP YUNGAY;08:45 a 16:45;Avenida Arias Grazziani Lt. 1-2 Centro Cívico de la Municipalidad Provincial de Yungay;OPERATIVO;SI;NO;SI;SI;SI;NO;NO;NO;NO;;;
133;37;ANCASH;CARLOS FERMIN FITZCARRALD;SAN LUIS;;;;PAP CARLOS FERMÍN FITZCARRALD;08:45 a 16:45;Avenida Ramón Castilla N° 320 - 1er. piso Centro Cívico de la Municipalidad Provincial de C. F. Fitzcarrald;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;NO;;;
134;29;ANCASH;MARISCAL LUZURIAGA;PISCOBAMBA;;;;PAP MARISCAL LUZURIAGA;08:45 a 16:45;Jirón San Pablo S/N, Centro Cívico de la Municipalidad Provincial de Mariscal Luzuriaga;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
135;140;ANCASH;SANTA;CHIMBOTE;;;;ORA HOSPITAL LA CALETA (Chimbote);08:45 a 16:30;Avenida Malecon Grau S/N;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
136;57;ANCASH;SANTA;CHIMBOTE;;;;ORA HOSPITAL ESSALUD III CHIMBOTE;08:45 a 16:30;Avenida Circunvalación Nº 119 Urb. Laderas del Norte;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
137;56;ANCASH;SANTA;NUEVO CHIMBOTE;;;;ORA HOSPITAL ELEAZAR GUZMÁN BARRÓN (Nuevo Chimbote);08:45 a 16:30;Avenida Brasil S/N, Urb. Santa Cristina (Hospital Regional Eleazar Guzmán Barrón puerta de Emergencia);OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
138;295;ANCASH;HUARAZ;HUARAZ;;;;ORA HOSPITAL VÍCTOR RAMOS GUARDIA (Huaraz);08:45 a 16:30;Avenida Mariscal Luzuriaga cdra. 01, cruce con Jr. Pedro Villón cdra. 10;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
139;595;ANCASH;HUAYLAS;CARAZ;;;;ORA HOSPITAL DE APOYO CARAZ;08:45 a 16:30;Avenida 9 de Octubre S/N;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
140;748;ANCASH;HUARI;HUARI;;;;ORA HOSPITAL DE APOYO HUARI;08:45 a 16:30;Avenida Circunvalación Baja S/N;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
141;26;ANCASH;CORONGO;CORONGO;;;;PANP CORONGO;08:45 a 16:45;Jirón Grau N° 206, primer piso de la Municipalidad Provincial de Corongo;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
142;30;ANCASH;PALLASCA;CABANA;;;;PANP PALLASCA;08:45 a 16:45;Avenida Plaza de Armas N° 103, primer piso de la Municipalidad Provincial de Pallasca;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
143;22;ANCASH;AIJA;AIJA;;;;PANP AIJA;08:45 a 16:45;Jirón Gavino Uribe S/N Plaza de Armas, 1er piso de la Municipalidad Provincial de Aija;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
144;23;ANCASH;BOLOGNESI;CHIQUIAN;;;;PANP BOLOGNESI;08:45 a 16:45;Jirón Tacna 320, primer piso del Centro Cívico de la Municipalidad Distrital de Chiquian;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
145;741;ANCASH;YUNGAY;YANAMA;;;;AG YANAMA;08:45 a 16:45;Jirón Yungay S/N cdra. 03;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
146;470;ANCASH;MARISCAL LUZURIAGA;LLUMPA;;;;PANP LLUMPA;08:45 a 16:45; Plaza de Armas S/N;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
147;38;ANCASH;ASUNCION;CHACAS;;;;PANP ASUNCIÓN;08:45 a 16:45;Jirón Coliseo de Chacas S/N;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
148;714;ANCASH;HUARI;CHAVIN DE HUANTAR;;;;PANP CHAVÍN DE HUANTAR;08:45 a 16:45;Jirón San Martin S/N, 1er piso del Centro Cívico de la Municipalidad Distrital de Chavin de Huantar;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
149;715;ANCASH;HUARI;SAN MARCOS;;;;PANP SAN MARCOS ;08:45 a 16:45;Jirón Progreso 332, Plaza de Armas de San Marcos;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
150;249;ANCASH;HUACAYBAMBA;HUACAYBAMBA;;;;PANP HUACAYBAMBA;08:45 a 16:45;Avenida El Ejercito S/N Barrio San Pedro, 1er piso Municipalidad Provincial de Huacaybamba;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
151;36;ANCASH;ANTONIO RAIMONDI;LLAMELLIN;;;;PANP ANTONIO RAIMONDI;08:45 a 16:45;Jirón Simón Bolívar N° 229;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
152;766;ANCASH;HUARI;UCO;;;;PANP UCO;08:45 a 16:45;Jirón Nicolas de Piérola S/N Plaza de Armas, 1er piso de la Municipalidad Distrital de Uco;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
153;281;JUNIN;HUANCAYO;EL TAMBO;;;;OR HUANCAYO;08:45 a 16:45;AVENIDA MARISCAL CASTILLA Nº 1801;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
154;285;JUNIN;TARMA;TARMA;;;;AG TARMA;08:45 a 16:45;JIRÓN AREQUIPA Nº 939;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
155;288;JUNIN;CHANCHAMAYO;LA MERCED;;;;AG CHANCHAMAYO;08:45 a 16:45;PROLONGACIÓN TARMA Nº 242;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
156;146;JUNIN;SATIPO;PANGOA;;;;PAP PANGOA;08:45 a 16:45;CALLE 07 DE JUNIO Nº 641 PLAZA PRINCIPAL CENTRO CIVICO;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
157;279;JUNIN;SATIPO;MAZAMARI;;;;PAP MAZAMARI;08:45 a 16:45;AVENIDA SAN JUAN N° 377;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
158;282;JUNIN;CONCEPCION;CONCEPCIÓN;;;;PAP CONCEPCIÓN;08:45 a 16:45;JIRÓN RICARDO PALMA S/N MERCADO MODELO INTERIOR 1 ;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
159;283;JUNIN;JAUJA;JAUJA;;;;PAP JAUJA;08:45 a 16:45;JIRÓN SUCRE N° 889;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
160;284;JUNIN;JUNIN;JUNIN;;;;PAP JUNIN;08:45 a 16:45;JIRÓN SIMÓN BOLIVAR N° 820;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
161;286;JUNIN;YAULI;SANTA ROSA DE SACCO;;;;PAP YAULI;08:45 a 16:45;AVENIDA MIGUEL GRAU N° 309;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
162;287;JUNIN;SATIPO;SATIPO;;;;PAP SATIPO;08:45 a 16:45;AVENIDA MICAELA BASTIDAS Y JR. AUGUSTO B. LEGUIA CENTRO CIVICO ;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
163;289;JUNIN;CHUPACA;CHUPACA;;;;PAP CHUPACA;08:45 a 16:45;JIRÓN GRAU N° 195 - CENTRO CÍVICO;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
164;292;JUNIN;CHANCHAMAYO;PICHANAQUI;;;;PAP PICHANAQUI;08:45 a 16:45;JIRÓN INDEPENDENCIA S/N COLISEO MUNICIPAL;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
165;215;JUNIN;HUANCAYO;HUANCAYO;;;;"ORA REGIONAL DOCENTE MATERNO INFANTIL ""EL CARMEN""";08:45 a 16:30;JIRÓN PUNO Nº 911;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
166;733;JUNIN;TARMA;TARMA;;;;ORA DE APOYO FELIX MAYORCA SOTO;08:45 a 16:30;AVENIDA PACHECO Nº 362;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
167;734;JUNIN;JAUJA ;JAUJA ;;;;ORA HOSPITAL DOMINGO OLAVEGOYA;08:45 a 16:30;JIRÓN SAN MARTÍN Nº 1153 URB. OLAVEGOYA ;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
168;735;JUNIN;SATIPO;SATIPO;;;;ORA DE APOYO MANUEL HIGA ARAKAKI;08:45 a 16:30;CALLE DANIEL ALCIDES CARRIÓN Nº 398;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
169;736;JUNIN;CHANCHAMAYO ;PICHANAQUI;;;;ORA HOSPITAL DE APOYO PICHANAQUI;08:45 a 16:30;AVENIDA SAN MARTÍN S/N PICHANAKI;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
170;763;JUNIN;HUANCAYO;HUANCAYO;;;;ORA LA LIBERTAD;08:45 a 16:30;AV. ALAMEDA S/N. COOP. SANTA ISABEL ;DESPLAZAMIENTO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
171;764;JUNIN;CHANCHAMAYO;LA MERCED;;;;ORA HOSPITAL REGIONAL DOCENTE DE MEDICINA TROPICAL DR. JULIO DEMARINI CARO;08:45 a 16:30;AVENIDA DANIEL A. CARRION S/N AV. PAMPA DEL CARMEN S/N;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
172;142;JUNIN;HUANCAYO;EL TAMBO;;;;ORA HOSPITAL NACIONAL RAMIRO PRIALE;08:45 a 16:30;AVENIDA INDEPENDENCIA Nº 266;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
173;737;JUNIN;SATIPO;PANGOA;;;;ORA HOSPITAL DE PANGOA;08:45 a 16:30;AVENIDA LA CULTURA S/N;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
174;765;JUNIN;HUANCAYO;CHILCA;;;;ORA CHILCA;08:45 a 16:30;JIRÓN HUMBOLT Nº 900;DESPLAZAMIENTO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
175;1129;JUNIN;HUANCAYO;HUANCAYO;;;;MAC - JUNIN;08:30 a 16:30;AVENIDA FERROCARRIL N° 146 - 150 - CENTRO COMERCIAL OPEN PLAZA;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
176;600017;JUNIN;HUANCAYO;EL TAMBO;;;;AGENTE RENIEC - OR HUANCAYO;08:45 a 16:45;AVENIDA MARISCAL CASTILLA Nº 1801;OPERATIVO;NO;NO;SI;NO;NO;NO;SI;NO;NO;;;
177;47;AYACUCHO;HUAMANGA;AYACUCHO;;;;"ORA HOSPITAL REGIONAL DE AYACUCHO ""MIGUEL ANGEL MARISCAL LLERENA"" (MINSA)";08:45 a 16:30;Jirón Daniel Alcides Carrión S/N - 2da cuadra.;OPERATIVO;SI;NO;NO;SI;NO;SI;NO;NO;NO;;;
178;119;AYACUCHO;LA MAR;AYNA;;;;PAP AYNA -SAN FRANCISCO;08:45 a 16:45;Avenida 28 de Julio S/N San Francisco;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
179;121;AYACUCHO;HUAMANGA;AYACUCHO;;;;OR HUAMANGA;08:45 a 16:45;Jirón San Martin Nº 473, 475, 477 y 477A;OPERATIVO;si;si;si;si;si;si;si;si;SI;;;
180;122;AYACUCHO;CANGALLO;CANGALLO;;;;PAP CANGALLO;08:45 a 16:45;Jirón Maria Parado de Bellido Nº 205;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
181;123;AYACUCHO;HUANTA;HUANTA;;;;AG HUANTA;08:45 a 16:45;Jirón Ayacucho N° 305;OPERATIVO;si;si;si;si;si;si;si;si;SI;;;
182;124;AYACUCHO;LA MAR;SAN MIGUEL;;;;PAP LA MAR;08:45 a 16:45;Jirón Maria Parado de Bellido S/N ;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
183;127;AYACUCHO;VICTOR FAJARDO;HUANCAPI;;;;PAP VICTOR FAJARDO;08:45 a 16:45; Plaza Principal Nº 127;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
184;128;AYACUCHO;HUANCA SANCOS;SANCOS;;;;PAP HUANCASANCOS;08:45 a 16:45;Avenida Progreso S/N Consejo Provincial de Huanca Sancos;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
185;129;AYACUCHO;VILCAS HUAMAN;VILCAS HUAMAN;;;;PAP VILCASHUAMAN;08:45 a 16:45;Avenida Los Incas Nº 222;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
186;131;AYACUCHO;SUCRE;QUEROBAMBA;;;;PAP SUCRE;08:45 a 16:45;Jirón San Martin S/N  Plaza de Armas Consejo Provincial de Sucre;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
187;213;AYACUCHO;HUANTA;HUANTA;;;;"ORA HOSPITAL DE APOYO HUANTA ""DANIEL ALCIDES CARRION"" (MINSA)";08:45 a 16:30;Avenida Mariscal Castilla Nº 628;OPERATIVO;SI;NO;NO;SI;NO;SI;NO;NO;NO;;;
188;454;AYACUCHO;LA MAR;SAN MIGUEL;;;;ORA SAN MIGUEL (MINSA);08:45 a 16:30;Avenida Ramon Castilla s/n;DESPLAZAMIENTO;SI;NO;NO;SI;NO;SI;NO;NO;NO;;;
189;455;AYACUCHO;CANGALLO;CANGALLO;;;;ORA HOSPITAL DE APOYO CANGALLO (MINSA);08:45 a 16:30;Jirón Santa Rosa N° 110;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
190;172;CUSCO;LA CONVENCION;PICHARI;;;;PAP PICHARI;08:45 a 16:45;Avenida BRASIL S/N;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
191;77;APURIMAC;CHINCHEROS;CHINCHEROS;;;;PAP CHINCHEROS;08:45 a 16:45;Jirón COTABAMBAS N° 121;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
192;500;AYACUCHO;LA MAR;SAMUGARI;;;;PAP SAMUGARI -PALMAPAMPA;08:45 a 16:45;Jirón Los Laureles S/N – Palmapampa Distrital de Samugari;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
193;620;AYACUCHO;LA MAR;TAMBO;;;;ORA TAMBO (MINSA);08:45 a 16:30;Jirón Lima s/n;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
194;628;AYACUCHO;HUAMANGA;JESUS NAZARENO;;;;ORA HOSPITAL DE APOYO JESUS NAZARENO (MINSA);08:45 a 16:30;Jirón Ciro Alegría Nº 547;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
195;73;APURIMAC;ANDAHUAYLAS;TALAVERA;;;;OR ANDAHUAYLAS;08:45 a 16:45;Jirón Amauta N° 311;OPERATIVO;si;si;si;si;si;si;si;si;SI;;;
196;458;APURIMAC;CHINCHEROS;ANCCO HUALLO;;;;ORA  CENTRO DE SALUD URIPA  (MINSA);08:45 a 16:30;Avenida  Túpac Amaru S/N – URIPA;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
197;459;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;;;;ORA HOSPITAL REGIONAL DOCENTE  HUGO PESCE PESCETTO ANDAHUAYLAS (MINSA);08:45 a 16:30;Avenida Hugo Pesce Pesceto S/N;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
198;357;AYACUCHO;HUANTA;SIVIA;;;;ORA HOSPITAL DE APOYO DE SIVIA (MINSA);08:45 a 16:30;Jirón Gervacio Santillana S/N;DESPLAZAMIENTO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
199;699;CUSCO;LA CONVENCION;KIMBIRI;;;;ORA CENTRO DE SALUD SAN JUAN DE KIMBIRI (MINSA);08:45 a 16:30;Avenida Aeropuerto S/N;DESPLAZAMIENTO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
200;629;CUSCO;LA CONVENCION;PICHARI;;;;ORA HOSPITAL DE APOYO PICHARI (MINSA);08:45 a 16:30;Jirón Amazonas s/n;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
201;457;APURIMAC;CHINCHEROS;CHINCHEROS;;;;ORA HOSPITAL DE APOYO CHINCHEROS (MINSA);08:45 a 16:30;Avenida Fernando Belaunde Terry S/N;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
202;631;AYACUCHO;CANGALLO;LOS MOROCHUCOS;;;;ORA PAMPA CANGALLO (MINSA);08:45 a 16:30;Avenida María Arguedas S/N;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
203;1186;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;;;;ORA SAN JUAN BAUTISTA;08:45 a 16:30;AV. MALVINAS S/N;DESPLAZAMIENTO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
204;52;AREQUIPA;AREQUIPA;AREQUIPA;;;;ORA HOSPITAL REGIONAL HONORIO DELGADO ESPINOZA (MINSA);08:45 a 16:30;Avenida Daniel Alcides Carrión N° 505;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
205;54;TACNA;TACNA;TACNA;;;;ORA TACNA (MINSA);08:45 a 16:30;Calle Blondel S/N;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
206;91;AREQUIPA;AREQUIPA;AREQUIPA;;;;OR AREQUIPA;08:45 a 16:45;Calle San Juan de Dios N° 122 y Santo Domingo N° 101;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
207;92;AREQUIPA;CAYLLOMA;CHIVAY;;;;PAP CAYLLOMA;08:45 a 16:45;Calle Siglo XX S/N;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
208;93;AREQUIPA;CAMANA;CAMANA;;;;AG CAMANA;08:45 a 16:45;Avenida Mariscal Castilla N° 221;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
209;94;AREQUIPA;CARAVELI;CARAVELÍ;;;;PAP CARAVELI;08:45 a 16:45;Jirón Bolivar S/N;DESPLAZAMIENTO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
210;95;AREQUIPA;CASTILLA;APLAO;;;;PAP CASTILLA;08:45 a 16:45;Calle Progreso S/N;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
211;96;AREQUIPA;CONDESUYOS;CHUQUIBAMBA;;;;PAP CONDESUYOS;08:45 a 16:45;Avenida Alameda S/N - Los Tres Errantes;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
212;97;AREQUIPA;ISLAY;MOLLENDO;;;;AG ISLAY;08:45 a 16:45;Jiron Arequipa Nº 261 ;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
213;98;AREQUIPA;LA UNION;COTAHUASI;;;;PAP LA UNION;08:45 a 16:45;Calle Centenario N° 202 - Cotahuasi;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
214;145;MOQUEGUA;MARISCAL NIETO;MOQUEGUA;;;;ORA HOSPITAL REGIONAL MOQUEGUA (MINSA);08:45 a 16:30;Avenida Simón Bolívar N° 505;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
215;481;MOQUEGUA;MARISCAL NIETO;SAN ANTONIO;;;;AG MARISCAL NIETO;08:45 a 16:45;Avenida Central Mz D-4 Lt. 1;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
216;483;MOQUEGUA;ILO;ILO;;;;AG ILO;08:45 a 16:45;Jirón Ayacucho N° 529;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
