N°,OFICINAS REGIONALES/U.O.,DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO DE ATENCIÓN,CODIGO SIO DNI NUM,SIGLA TIPO DE LOCAL,"ESTADO
Operativo: Atiente de lunes a viernes
Deplazamiento: Atiende de acuerdo a la programación de RENIEC",HORARIO DE ATENCIÓN AL PUBLICO, ¿Este Centro de Atención toma fotografía? , ¿Este Centro de Atención entrega DNI Electrónico? , TRAMITE DE DNI MAYOR , ENTREGAS DE DNI , INSCRIPCION DE REGISTROS CIVILES , CERTIFICACION DE REGISTROS CIVILES , CERTIFICACION DEL RUIPN , EREP ,NOMBRE DE LA VIA,,,,,,,,,,,
98,03.- TARAPOTO,SAN MARTIN,SAN MARTIN ,LA BANDA DE SHILCAYO,AG LA BANDA DE SHILCAYO,612,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón Yurimaguas N° 340,,,,,,,,,,,
99,03.- TARAPOTO,SAN MARTIN,MARISCAL CACERES,JUANJUI,ORA HOSPITAL JUANJUI (MINSA),632,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,NO,NO,NO,Jirón Arica N° 205,,,,,,,,,,,
100,03.- TARAPOTO,SAN MARTIN,RIOJA,RIOJA,ORA HOSPITAL DE RIOJA (MINSA),658,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,NO,NO,NO,Jirón Túpac Amaru S/N,,,,,,,,,,,
101,03.- TARAPOTO,LORETO,ALTO AMAZONAS,LAGUNAS,AG LAGUNAS,509,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,Jirón FITZCARRALD C-9,,,,,,,,,,,
102,03.- TARAPOTO,SAN MARTIN,SAN MARTIN,MORALES,PANP MORALES,983,PANP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón Tarapoto N° 116 Plaza de Armas,,,,,,,,,,,
103,04.- IQUITOS,LORETO,MAYNAS,PUNCHANA,"ORA HOSPITAL REGIONAL DE LORETO ""FELIPE ARRIOLA IGLESIAS""",55,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida 28 de Julio S/N,,,,,,,,,,,
104,04.- IQUITOS,LORETO,MAYNAS,IQUITOS,"ORA HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""",85,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Calle Cornejo Portugal 1710,,,,,,,,,,,
105,04.- IQUITOS,LORETO,MAYNAS,BELÉN,OR BELEN,332,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,NO,Calle Miraflores S/N P. J. 09 de Octubre,,,,,,,,,,,
106,04.- IQUITOS,LORETO,MAYNAS,TENIENTE MANUEL CLAVERO,PAP SOPLIN VARGAS,339,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,Avenida Plaza de Armas S/N  ,,,,,,,,,,,
107,04.- IQUITOS,LORETO,MAYNAS,IQUITOS,OR IQUITOS,431,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Próspero Nº 201,,,,,,,,,,,
108,04.- IQUITOS,LORETO,LORETO,NAUTA,PAP NAUTA,433,PAP,OPERATIVO,08:45 a 16:45,SI,NO ,SI,SI,NO,SI,SI,NO,Avenida Grau Nº 305 Centro,,,,,,,,,,,
109,04.- IQUITOS,LORETO,REQUENA,REQUENA,PAP REQUENA,434,PAP,OPERATIVO,08:45 a 16:45,SI,NO ,SI,SI,NO,SI,SI,NO,Calle San Antonio S/N Anexo Hotel Municipal,,,,,,,,,,,
110,04.- IQUITOS,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,PAP MARISCAL RAMON CASTILLA - CABALLOCOCHA,436,PAP,OPERATIVO,08:45 a 16:45,SI,NO ,SI,SI,NO,SI,SI,NO,Calle Ayacucho Mz. 22 Lt. 4 C con Amazonas S/N - Local Municipal,,,,,,,,,,,
111,04.- IQUITOS,LORETO,MAYNAS,SAN JUAN BAUTISTA,OR SAN JUAN BAUTISTA,438,OR,OPERATIVO,08:45 a 16:45,SI,NO ,SI,SI,SI,SI,SI,NO,Avenida Abelardo Quiñones Nº 2371 Km. 2.5 ,,,,,,,,,,,
112,04.- IQUITOS,LORETO,MARISCAL RAMON CASTILLA,YAVARI,PAP YAVARI,439,PAP,OPERATIVO,08:45 a 16:45,NO,NO ,SI,SI,NO,NO,NO,NO,Pasaje Dos de Julio S/N Local Municipal,,,,,,,,,,,
113,04.- IQUITOS,LORETO,PUTUMAYO,PUTUMAYO,PAP PUTUMAYO,440,PAP,OPERATIVO,08:45 a 16:45,NO,NO ,SI,SI,NO,NO,NO,NO,Calle LOCAL MUNICIPAL,,,,,,,,,,,
114,04.- IQUITOS,LORETO,MAYNAS,PUNCHANA,PAP PUNCHANA,449,PAP,OPERATIVO,08:45 a 16:45,SI,NO ,SI,SI,NO,SI,NO,NO,"Calle Cusco S/N, cuadra 5, equina con Trujillo.",,,,,,,,,,,
115,04.- IQUITOS,LORETO,REQUENA,REQUENA,ORA REQUENA,645,ORA,OPERATIVO,08:45 a 16:30,SI,NO ,NO,SI,SI,NO,NO,NO,Calle Mártires del Petroléo S/N - Malecon Grau,,,,,,,,,,,
116,04.- IQUITOS,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,ORA CABALLOCOCHA,711,ORA,OPERATIVO,08:45 a 16:30,si,NO ,NO,SI,SI,NO,NO,NO,Calle Progreso N° 425,,,,,,,,,,,
117,04.- IQUITOS,LORETO,MAYNAS,PUNCHANA,MAC - LORETO,806,MAC,OPERATIVO,08:30 a 16:30,SI,NO ,SI,SI,NO,SI,SI,NO,Avenida La Marina Nº  1338,,,,,,,,,,,
118,05.- CHIMBOTE,ANCASH,SANTA,CHIMBOTE,OR SANTA,33,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Enrique Palacios Nº 504-506 esquina con Jr. Ladislao Espinar Nº 401,,,,,,,,,,,
119,05.- CHIMBOTE,ANCASH,SANTA,CHIMBOTE,CENTRO MAC ANCASH (MegaPlaza Chimbote),1182,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,NO,SI,SI,SI," Mz. B Lt. 1-A-1-A2 Sector Parque Gran Chavín, Centro Comercial Megaplaza Chimbote",,,,,,,,,,,
120,05.- CHIMBOTE,ANCASH,SANTA,NUEVO CHIMBOTE,AG NUEVO CHIMBOTE,137,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI, Mz. 74-75 Lt. 1 del Centro Cívico de la Municipalidad Distrital de Nuevo Chimbote,,,,,,,,,,,
121,05.- CHIMBOTE,ANCASH,HUARAZ,HUARAZ,AG HUARAZ,21,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,"Jirón Agustin Loly N° 756, Mz. 29A Lt. 27, Barrio La Soledad Alta, intersección con Jr. Agustin Mejía",,,,,,,,,,,
122,05.- CHIMBOTE,ANCASH,HUAYLAS,CARAZ,AG HUAYLAS,27,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Raimondi N° 215,,,,,,,,,,,
123,05.- CHIMBOTE,ANCASH,HUARI,HUARI,AG HUARI,28,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Libertad Mz. P2 Lt. 003,,,,,,,,,,,
124,05.- CHIMBOTE,ANCASH,POMABAMBA,POMABAMBA,AG POMABAMBA,31,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Huaraz Nº 369,,,,,,,,,,,
125,05.- CHIMBOTE,ANCASH,SIHUAS,SIHUAS,AG SIHUAS,34,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,"Jirón Gomes Arias 106, Barrio Pingullo Alto",,,,,,,,,,,
126,05.- CHIMBOTE,ANCASH,PALLASCA,PAMPAS,AG PAMPAS,518,AG,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,Calle Plaza de Armas S/N - Municipalidad Distrital de Pampas - 1er piso,,,,,,,,,,,
127,05.- CHIMBOTE,ANCASH,CASMA,CASMA,PAP CASMA,25,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO, Sector Hijuela Mz. C Lt. 13 del Centro Cívico de la Municipalidad Provincial de Casma,,,,,,,,,,,
128,05.- CHIMBOTE,ANCASH,HUARMEY,HUARMEY,PAP HUARMEY,39,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO, 1er. Pabellón S/N del Centro Cívico de la Municipalidad Provincial de Huarmey,,,,,,,,,,,
129,05.- CHIMBOTE,ANCASH,RECUAY,RECUAY,PAP RECUAY,32,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,Calle Plaza de Armas Nº 180 Municipalidad Distrital de Recuay,,,,,,,,,,,
130,05.- CHIMBOTE,ANCASH,CARHUAZ,CARHUAZ,PAP CARHUAZ,24,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,NO,NO,NO,Avenida La Merced Nº 1006,,,,,,,,,,,
131,05.- CHIMBOTE,ANCASH,YUNGAY,YUNGAY,PAP YUNGAY,35,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,NO,NO,NO,Avenida Arias Grazziani Lt. 1-2 Centro Cívico de la Municipalidad Provincial de Yungay,,,,,,,,,,,
132,05.- CHIMBOTE,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUÍS,PAP CARLOS FERMÍN FITZCARRALD,37,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,Avenida Ramón Castilla N° 320 - 1er. piso Centro Cívico de la Municipalidad Provincial de C. F. Fitzcarrald,,,,,,,,,,,
133,05.- CHIMBOTE,ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,PAP MARISCAL LUZURIAGA,29,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,"Jirón San Pablo S/N, Centro Cívico de la Municipalidad Provincial de Mariscal Luzuriaga",,,,,,,,,,,
134,05.- CHIMBOTE,ANCASH,SANTA,CHIMBOTE,ORA HOSPITAL LA CALETA (Chimbote),140,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida Malecon Grau S/N,,,,,,,,,,,
135,05.- CHIMBOTE,ANCASH,SANTA,CHIMBOTE,ORA HOSPITAL ESSALUD III CHIMBOTE,57,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida Circunvalación Nº 119 Urb. Laderas del Norte,,,,,,,,,,,
136,05.- CHIMBOTE,ANCASH,SANTA,NUEVO CHIMBOTE,ORA HOSPITAL ELEAZAR GUZMÁN BARRÓN (Nuevo Chimbote),56,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,"Avenida Brasil S/N, Urb. Santa Cristina (Hospital Regional Eleazar Guzmán Barrón puerta de Emergencia)",,,,,,,,,,,
137,05.- CHIMBOTE,ANCASH,HUARAZ,HUARAZ,ORA HOSPITAL VÍCTOR RAMOS GUARDIA (Huaraz),295,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,"Avenida Mariscal Luzuriaga cdra. 01, cruce con Jr. Pedro Villón cdra. 10",,,,,,,,,,,
138,05.- CHIMBOTE,ANCASH,HUAYLAS,CARAZ,ORA HOSPITAL DE APOYO CARAZ,595,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida 9 de Octubre S/N,,,,,,,,,,,
139,05.- CHIMBOTE,ANCASH,HUARI,HUARI,ORA HOSPITAL DE APOYO HUARI,748,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida Circunvalación Baja S/N,,,,,,,,,,,
140,05.- CHIMBOTE,ANCASH,CORONGO,CORONGO,PANP CORONGO,26,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,"Jirón Grau N° 206, primer piso de la Municipalidad Provincial de Corongo",,,,,,,,,,,
141,05.- CHIMBOTE,ANCASH,PALLASCA,CABANA,PANP PALLASCA,30,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,"Avenida Plaza de Armas N° 103, primer piso de la Municipalidad Provincial de Pallasca",,,,,,,,,,,
142,05.- CHIMBOTE,ANCASH,AIJA,AIJA,PANP AIJA,22,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,"Jirón Gavino Uribe S/N Plaza de Armas, 1er piso de la Municipalidad Provincial de Aija",,,,,,,,,,,
143,05.- CHIMBOTE,ANCASH,BOLOGNESI,CHIQUIAN,PANP BOLOGNESI,23,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,"Jirón Tacna 320, primer piso del Centro Cívico de la Municipalidad Distrital de Chiquian",,,,,,,,,,,
144,05.- CHIMBOTE,ANCASH,YUNGAY,YANAMA,AG YANAMA,741,AG,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,Jirón Yungay S/N cdra. 03,,,,,,,,,,,
145,05.- CHIMBOTE,ANCASH,MARISCAL LUZURIAGA,LLUMPA,PANP LLUMPA,470,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO, Plaza de Armas S/N,,,,,,,,,,,
146,05.- CHIMBOTE,ANCASH,ASUNCION,CHACAS,PANP ASUNCIÓN,38,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,Jirón Coliseo de Chacas S/N,,,,,,,,,,,
147,05.- CHIMBOTE,ANCASH,HUARI,CHAVIN DE HUANTAR,PANP CHAVÍN DE HUANTAR,714,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,"Jirón San Martin S/N, 1er piso del Centro Cívico de la Municipalidad Distrital de Chavin de Huantar",,,,,,,,,,,
148,05.- CHIMBOTE,ANCASH,HUARI,SAN MARCOS,PANP SAN MARCOS ,715,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,"Jirón Progreso 332, Plaza de Armas de San Marcos",,,,,,,,,,,
149,05.- CHIMBOTE,ANCASH,HUACAYBAMBA,HUACAYBAMBA,PANP HUACAYBAMBA,249,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,"Avenida El Ejercito S/N Barrio San Pedro, 1er piso Municipalidad Provincial de Huacaybamba",,,,,,,,,,,
150,05.- CHIMBOTE,ANCASH,ANTONIO RAIMONDI,LLAMELLIN,PANP ANTONIO RAIMONDI,36,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,Jirón Simón Bolívar N° 229,,,,,,,,,,,
151,05.- CHIMBOTE,ANCASH,HUARI,UCO,PANP UCO,766,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,"Jirón Nicolas de Piérola S/N Plaza de Armas, 1er piso de la Municipalidad Distrital de Uco",,,,,,,,,,,
152,06.- HUANCAYO,JUNIN,HUANCAYO,EL TAMBO,OR HUANCAYO,281,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Avenida MARISCAL CASTILLA Nº 1801,,,,,,,,,,,NO
153,06.- HUANCAYO,JUNIN,TARMA,TARMA,AG TARMA,285,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Jirón AREQUIPA Nº 939,,,,,,,,,,,NO
154,06.- HUANCAYO,JUNIN,CHANCHAMAYO,LA MERCED,AG CHANCHAMAYO,288,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Prolongación TARMA Nº 236,,,,,,,,,,,
155,06.- HUANCAYO,JUNIN,SATIPO,PANGOA,PAP PANGOA,146,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Calle 07 DE JUNIO Nº 641 PLAZA PRINCIPAL CENTRO CIVICO,,,,,,,,,,,
156,06.- HUANCAYO,JUNIN,SATIPO,MAZAMARI,PAP MAZAMARI,279,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Avenida SAN JUAN N° 377,,,,,,,,,,,
157,06.- HUANCAYO,JUNIN,CONCEPCION,CONCEPCIÓN,PAP CONCEPCIÓN,282,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Jirón RICARDO PALMA S/N MERCADO MODELO INTERIOR 1 ,,,,,,,,,,,
158,06.- HUANCAYO,JUNIN,JAUJA,JAUJA,PAP JAUJA,283,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Jirón SUCRE N° 889,,,,,,,,,,,
159,06.- HUANCAYO,JUNIN,JUNIN,JUNIN,PAP JUNIN,284,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón SIMÓN BOLIVAR N° 820,,,,,,,,,,,
160,06.- HUANCAYO,JUNIN,YAULI,SANTA ROSA DE SACCO,PAP YAULI,286,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Avenida MIGUEL GRAU N° 309,,,,,,,,,,,
161,06.- HUANCAYO,JUNIN,SATIPO,SATIPO,PAP SATIPO,287,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Avenida MICAELA BASTIDAS Y JR. AUGUSTO B. LEGUIA CENTRO CIVICO ,,,,,,,,,,,
162,06.- HUANCAYO,JUNIN,CHUPACA,CHUPACA,PAP CHUPACA,289,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Jirón GRAU N° 195 - CENTRO CÍVICO,,,,,,,,,,,
163,06.- HUANCAYO,JUNIN,CHANCHAMAYO,PICHANAQUI,PAP PICHANAQUI,292,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,Jirón INDEPENDENCIA S/N COLISEO MUNICIPAL,,,,,,,,,,,
164,06.- HUANCAYO,JUNIN,HUANCAYO,HUANCAYO,"ORA REGIONAL DOCENTE MATERNO INFANTIL ""EL CARMEN""",215,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Jirón PUNO Nº 911,,,,,,,,,,,
165,06.- HUANCAYO,JUNIN,TARMA,TARMA,ORA DE APOYO FELIX MAYORCA SOTO,733,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida PACHECO Nº 362,,,,,,,,,,,
166,06.- HUANCAYO,JUNIN,JAUJA ,JAUJA ,ORA HOSPITAL DOMINGO OLAVEGOYA,734,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Jirón SAN MARTÍN Nº 1153 URB. OLAVEGOYA ,,,,,,,,,,,
167,06.- HUANCAYO,JUNIN,SATIPO,SATIPO,ORA DE APOYO MANUEL HIGA ARAKAKI,735,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Calle DANIEL ALCIDES CARRIÓN Nº 398,,,,,,,,,,,
168,06.- HUANCAYO,JUNIN,CHANCHAMAYO ,PICHANAQUI,ORA HOSPITAL DE APOYO PICHANAQUI,736,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida SAN MARTÍN S/N PICHANAKI,,,,,,,,,,,
169,06.- HUANCAYO,JUNIN,HUANCAYO,HUANCAYO,ORA LA LIBERTAD,763,ORA,DESPLAZAMIENTO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Jirón LA VITORIA 1001,,,,,,,,,,,
170,06.- HUANCAYO,JUNIN,CHANCHAMAYO,LA MERCED,ORA HOSPITAL REGIONAL DOCENTE DE MEDICINA TROPICAL DR. JULIO DEMARINI CARO,764,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida DANIEL A. CARRION S/N AV. PAMPA DEL CARMEN S/N,,,,,,,,,,,
171,06.- HUANCAYO,JUNIN,HUANCAYO,EL TAMBO,ORA HOSPITAL NACIONAL RAMIRO PRIALE,142,ORA,DESPLAZAMIENTO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida INDEPENDENCIA Nº 266,,,,,,,,,,,
172,06.- HUANCAYO,JUNIN,SATIPO,PANGOA,ORA HOSPITAL DE PANGOA,737,ORA,DESPLAZAMIENTO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida LA CULTURA S/N,,,,,,,,,,,
173,06.- HUANCAYO,JUNIN,HUANCAYO,CHILCA,ORA CHILCA,765,ORA,DESPLAZAMIENTO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Jirón HUMBOLT Nº 900,,,,,,,,,,,
174,06.- HUANCAYO,JUNIN,HUANCAYO,HUANCAYO,MAC JUNIN,1129,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,NO,SI,SI,SI,Avenida FERROCARRIL N° 146 - 150 - CENTRO COMERCIAL OPEN PLAZA,,,,,,,,,,,
175,06.- HUANCAYO,JUNIN,HUANCAYO,EL TAMBO,PVM OR HUANCAYO,281,PVM,OPERATIVO,08:45 a 16:45,NO,NO,SI,NO,NO,SI,NO,NO,AVENIDA MARISCAL CASTILLA Nº 1801,,,,,,,,,,,
176,07.- AYACUCHO,AYACUCHO,HUAMANGA,AYACUCHO,"ORA HOSPITAL REGIONAL DE AYACUCHO ""MIGUEL ANGEL MARISCAL LLERENA"" (MINSA)",47,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,NO,SI,NO,NO,NO,Jirón Daniel Alcides Carrión S/N - 2da cuadra.,,,,,,,,,,,
177,07.- AYACUCHO,AYACUCHO,LA MAR,AYNA,PAP AYNA -SAN FRANCISCO,119,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Avenida 28 de Julio S/N San Francisco,,,,,,,,,,,
178,07.- AYACUCHO,AYACUCHO,HUAMANGA,AYACUCHO,OR HUAMANGA,121,OR,OPERATIVO,08:45 a 16:45,si,si,si,si,si,si,si,SI,"Jirón San Martin Nº 473, 475, 477 y 477A",,,,,,,,,,,
179,07.- AYACUCHO,AYACUCHO,CANGALLO,CANGALLO,PAP CANGALLO,122,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón Maria Parado de Bellido Nº 205,,,,,,,,,,,
180,07.- AYACUCHO,AYACUCHO,HUANTA,HUANTA,AG HUANTA,123,AG,OPERATIVO,08:45 a 16:45,si,si,si,si,si,si,si,SI,Jirón Ayacucho N° 305,,,,,,,,,,,
181,07.- AYACUCHO,AYACUCHO,LA MAR,SAN MIGUEL,PAP LA MAR,124,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón Maria Parado de Bellido S/N ,,,,,,,,,,,
182,07.- AYACUCHO,AYACUCHO,VICTOR FAJARDO,HUANCAPI,PAP VICTOR FAJARDO,127,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO, Plaza Principal Nº 127,,,,,,,,,,,
183,07.- AYACUCHO,AYACUCHO,HUANCA SANCOS,SANCOS,PAP HUANCASANCOS,128,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Avenida Progreso S/N Consejo Provincial de Huanca Sancos,,,,,,,,,,,
184,07.- AYACUCHO,AYACUCHO,VILCAS HUAMAN,VILCAS HUAMAN,PAP VILCASHUAMAN,129,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Avenida Los Incas Nº 222,,,,,,,,,,,
185,07.- AYACUCHO,AYACUCHO,SUCRE,QUEROBAMBA,PAP SUCRE,131,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón San Martin S/N  Plaza de Armas Consejo Provincial de Sucre,,,,,,,,,,,
186,07.- AYACUCHO,AYACUCHO,HUANTA,HUANTA,"ORA HOSPITAL DE APOYO HUANTA ""DANIEL ALCIDES CARRION"" (MINSA)",213,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,NO,SI,NO,NO,NO,Avenida Mariscal Castilla Nº 628,,,,,,,,,,,
187,07.- AYACUCHO,AYACUCHO,LA MAR,SAN MIGUEL,ORA SAN MIGUEL (MINSA),454,ORA,DESPLAZAMIENTO,08:45 a 16:30,SI,NO,NO,NO,SI,NO,NO,NO,Avenida Ramon Castilla s/n,,,,,,,,,,,
188,07.- AYACUCHO,AYACUCHO,CANGALLO,CANGALLO,ORA HOSPITAL DE APOYO CANGALLO (MINSA),455,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Jirón Santa Rosa N° 110,,,,,,,,,,,
189,07.- AYACUCHO,CUSCO,LA CONVENCION,PICHARI,PAP PICHARI,172,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Avenida BRASIL S/N,,,,,,,,,,,
190,07.- AYACUCHO,APURIMAC,CHINCHEROS,CHINCHEROS,PAP CHINCHEROS,77,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón COTABAMBAS N° 121,,,,,,,,,,,
191,07.- AYACUCHO,AYACUCHO,LA MAR,SAMUGARI,PAP SAMUGARI -PALMAPAMPA,500,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón Los Laureles S/N – Palmapampa Distrital de Samugari,,,,,,,,,,,
192,07.- AYACUCHO,AYACUCHO,LA MAR,TAMBO,ORA TAMBO (MINSA),620,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Jirón Lima s/n,,,,,,,,,,,
193,07.- AYACUCHO,AYACUCHO,HUAMANGA,JESUS NAZARENO,ORA HOSPITAL DE APOYO JESUS NAZARENO (MINSA),628,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Jirón Ciro Alegría Nº 547,,,,,,,,,,,
194,07.- AYACUCHO,APURIMAC,ANDAHUAYLAS,TALAVERA,OR ANDAHUAYLAS,73,OR,OPERATIVO,08:45 a 16:45,si,si,si,si,si,si,si,SI,Jirón Amauta N° 311,,,,,,,,,,,
195,07.- AYACUCHO,APURIMAC,CHINCHEROS,ANCCO HUALLO,ORA  CENTRO DE SALUD URIPA  (MINSA),458,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida  Túpac Amaru S/N – URIPA,,,,,,,,,,,
