,,,,,,,,,,,,,,,,,,
N°,OFICINAS REGIONALES/U.O.,DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO DE ATENCIÓN,CODIGO SIO DNI NUM,SIGLA TIPO DE LOCAL,"ESTADO
Operativo: Atiente de lunes a viernes
Deplazamiento: Atiende de acuerdo a la programación de RENIEC",HORARIO DE ATENCIÓN AL PUBLICO, ¿Este Centro de Atención toma fotografía? , ¿Este Centro de Atención entrega DNI Electrónico? , TRAMITE DE DNI MAYOR , TRAMITE DE DNI MENOR , ENTREGAS DE DNI , INSCRIPCION DE REGISTROS CIVILES , CERTIFICACION DE REGISTROS CIVILES , CERTIFICACION DEL RUIPN ,NOMBRE DE LA VIA
111,04.- IQUITOS,LORETO,REQUENA,REQUENA,ORA REQUENA,645,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Mártires del Petroléo S/N - Malecon Grau
112,04.- IQUITOS,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,ORA CABALLOCOCHA,711,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Progreso N° 425
113,04.- IQUITOS,LORETO,MAYNAS,PUNCHANA,MAC - LORETO,806,MAC,OPERATIVO,08:30 a 16:30,NO,NO,SI,SI,SI,NO,SI,SI,La Marina Nº  1338
114,05.- CHIMBOTE,ANCASH,SANTA,CHIMBOTE,OR SANTA,33,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Jr. Enrique Palacios Nº 504-506 esquina con Jr. Ladislao Espinar Nº 401
115,05.- CHIMBOTE,ANCASH,SANTA,NUEVO CHIMBOTE,AG NUEVO CHIMBOTE,137,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,NO,SI,Mz. 74-75 Lt. 1 del Centro Cívico de la Municipalidad Distrital de Nuevo Chimbote
116,05.- CHIMBOTE,ANCASH,HUARAZ,HUARAZ,AG HUARAZ,21,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,NO,SI,Jr. José Larrea y Loredo N° 764
117,05.- CHIMBOTE,ANCASH,HUAYLAS,CARAZ,AG HUAYLAS,27,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,NO,SI,Jr. Raimondi N° 215
118,05.- CHIMBOTE,ANCASH,HUARI,HUARI,AG HUARI,28,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,NO,SI,Jr. Libertad Mz. P2 Lt. 003
119,05.- CHIMBOTE,ANCASH,POMABAMBA,POMABAMBA,AG POMABAMBA,31,AG,OPERATIVO,08:45 a 16:45,NO,NO,NO,SI,SI,SI,NO,SI,Jr. Huaraz Nº 369
120,05.- CHIMBOTE,ANCASH,SIHUAS,SIHUAS,AG SIHUAS,34,AG,OPERATIVO,08:45 a 16:45,NO,NO,NO,SI,SI,SI,NO,SI,"Jr. Gomes Arias 106, Barrio Pingullo Alto"
121,05.- CHIMBOTE,ANCASH,PALLASCA,PAMPAS,AG PAMPAS,518,AG,OPERATIVO,08:45 a 16:45,NO,NO,NO,SI,SI,SI,NO,SI,Calle Plaza de Armas S/N - Municipalidad Distrital de Pampas - 1er piso
122,05.- CHIMBOTE,ANCASH,CASMA,CASMA,PAP CASMA,25,PAP,OPERATIVO,08:45 a 16:45,NO,NO,NO,SI,SI,SI,NO,SI,Sector Hijuela Mz. C Lt. 13 del Centro Cívico de la Municipalidad Provincial de Casma
123,05.- CHIMBOTE,ANCASH,HUARMEY,HUARMEY,PAP HUARMEY,39,PAP,OPERATIVO,08:45 a 16:45,NO,NO,NO,SI,SI,SI,NO,SI,1er. Pabellón S/N del Centro Cívico de la Municipalidad Provincial de Huarmey
124,05.- CHIMBOTE,ANCASH,RECUAY,RECUAY,PAP RECUAY,32,PAP,OPERATIVO,08:45 a 16:45,NO,NO,NO,SI,SI,SI,NO,SI,Jr. Plaza de Armas Nº 180 Municipalidad Distrital de Recuay
125,05.- CHIMBOTE,ANCASH,CARHUAZ,CARHUAZ,PAP CARHUAZ,24,PAP,OPERATIVO,08:45 a 16:45,NO,NO,NO,SI,SI,SI,NO,SI,Av. La Merced Nº 1006
126,05.- CHIMBOTE,ANCASH,YUNGAY,YUNGAY,PAP YUNGAY,35,PAP,OPERATIVO,08:45 a 16:45,NO,NO,NO,SI,SI,SI,NO,SI,Av.  Arias Grazziani Lt. 1-2 Centro Cívico de la Municipalidad Provincial de Yungay
127,05.- CHIMBOTE,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUÍS,PAP CARLOS FERMÍN FITZCARRALD,37,PAP,OPERATIVO,08:45 a 16:45,NO,NO,NO,SI,SI,SI,NO,SI,Av. Ramón Castilla N° 320 - 1er. piso Centro Cívico de la Municipalidad Provincial de C. F. Fitzcarrald
128,05.- CHIMBOTE,ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,PAP MARISCAL LUZURIAGA,29,PAP,OPERATIVO,08:45 a 16:45,NO,NO,NO,SI,SI,SI,NO,SI,"Jr. San Pablo S/N, Centro Cívico de la Municipalidad Provincial de Mariscal Luzuriaga"
129,05.- CHIMBOTE,ANCASH,SANTA,CHIMBOTE,ORA HOSPITAL LA CALETA (Chimbote),140,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,NO,SI,SI,SI,NO,Av. Malecon Grau S/N
130,05.- CHIMBOTE,ANCASH,SANTA,CHIMBOTE,ORA HOSPITAL ESSALUD III CHIMBOTE,57,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,NO,SI,SI,SI,NO,Av. Circunvalación Nº 119 Urb. Laderas del Norte
131,05.- CHIMBOTE,ANCASH,SANTA,CHIMBOTE,ORA MATERNIDAD DE MARÍA (Chimbote),294,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,NO,NO,NO,SI,NO,"Av. Enrique Meiggs S/N, PPJJ Miraflores Alto"
132,05.- CHIMBOTE,ANCASH,SANTA,NUEVO CHIMBOTE,ORA HOSPITAL ELEAZAR GUZMÁN BARRÓN (Nuevo Chimbote),56,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,NO,SI,SI,SI,NO,"Av. Brasil S/N, Urb. Santa Cristina (Hospital Regional Eleazar Guzmán Barrón puerta de Emergencia)"
133,05.- CHIMBOTE,ANCASH,HUARAZ,HUARAZ,ORA HOSPITAL VÍCTOR RAMOS GUARDIA (Huaraz),295,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,NO,SI,SI,SI,NO,"Av. Mariscal Luzuriaga cdra. 01, cruce con Jr. Pedro Villón cdra. 10"
134,05.- CHIMBOTE,ANCASH,HUAYLAS,CARAZ,ORA HOSPITAL DE APOYO CARAZ,595,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,NO,SI,SI,SI,NO,Av. 9 de Octubre S/N
135,05.- CHIMBOTE,ANCASH,HUARI,HUARI,ORA HOSPITAL DE APOYO HUARI,748,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,NO,SI,SI,SI,NO,Av. Circunvalación Baja S/N
136,05.- CHIMBOTE,ANCASH,CORONGO,CORONGO,PANP CORONGO,26,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,NO,SI,SI,SI,NO,NO,"Jr. Grau N° 206, primer piso de la Municipalidad Provincial de Corongo"
137,05.- CHIMBOTE,ANCASH,PALLASCA,CABANA,PANP PALLASCA,30,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,NO,SI,SI,SI,NO,NO,"Av. Plaza de Armas N° 103, primer piso de la Municipalidad Provincial de Pallasca"
138,05.- CHIMBOTE,ANCASH,AIJA,AIJA,PANP AIJA,22,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,NO,SI,SI,SI,NO,NO,"Jr. Gavino Uribe S/N Plaza de Armas, 1er piso de la Municipalidad Provincial de Aija"
139,05.- CHIMBOTE,ANCASH,BOLOGNESI,CHIQUIAN,PANP BOLOGNESI,23,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,NO,SI,SI,SI,NO,NO,"Jr. Tacna 320, primer piso del Centro Cívico de la Municipalidad Distrital de Chiquian"
140,05.- CHIMBOTE,ANCASH,YUNGAY,YANAMA,AG YANAMA,741,AG,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,NO,SI,SI,SI,NO,NO,Jr. Gran Chavín 2da cuadra S/N
141,05.- CHIMBOTE,ANCASH,MARISCAL LUZURIAGA,LLUMPA,PANP LLUMPA,470,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,NO,SI,SI,SI,NO,NO,Plaza de Armas S/N
142,05.- CHIMBOTE,ANCASH,ASUNCION,CHACAS,PANP ASUNCIÓN,38,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,NO,SI,SI,SI,NO,NO,"Jr. Atusparia S/N, esquina con Jr. Lima"
143,05.- CHIMBOTE,ANCASH,HUARI,CHAVIN DE HUANTAR,PANP CHAVÍN DE HUANTAR,714,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,NO,SI,SI,SI,NO,NO,"Jr. San Martin S/N, 1er piso del Centro Cívico de la Municipalidad Distrital de Chavin de Huantar"
144,05.- CHIMBOTE,ANCASH,HUARI,SAN MARCOS,PANP SAN MARCOS ,715,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,NO,SI,SI,SI,NO,NO,"Jr. Progreso 332, Plaza de Armas de San Marcos"
145,05.- CHIMBOTE,ANCASH,HUACAYBAMBA,HUACAYBAMBA,PANP HUACAYBAMBA,249,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,NO,SI,SI,SI,NO,NO,"Av. El Ejercito S/N Barrio San Pedro, 1er piso Municipalidad Provincial de Huacaybamba"
146,05.- CHIMBOTE,ANCASH,ANTONIO RAIMONDI,LLAMELLIN,PANP ANTONIO RAIMONDI,36,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,NO,SI,SI,SI,NO,NO,Jr. Simón Bolívar N° 229
147,05.- CHIMBOTE,ANCASH,HUARI,UCO,PANP UCO,766,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,NO,SI,SI,SI,NO,NO,"Jr. Nicolas de Piérola S/N Plaza de Armas, Municipalidad Distrital de Uco"
148,06.- HUANCAYO,JUNIN,TARMA,TARMA,AG TARMA,285,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Arequipa Nº 939
149,06.- HUANCAYO,JUNIN,CHANCHAMAYO,LA MERCED,AG CHANCHAMAYO,288,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Tarma Nº 236
150,06.- HUANCAYO,JUNIN,HUANCAYO,EL TAMBO,OR HUANCAYO,281,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Mariscal Castilla 1801
151,06.- HUANCAYO,JUNIN,HUANCAYO,HUANCAYO,"ORA REGIONAL DOCENTE MATERNO INFANTIL ""EL CARMEN""",215,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,Puno Nº 911
152,06.- HUANCAYO,JUNIN,TARMA,TARMA,ORA DE APOYO FELIX MAYORCA SOTO,733,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,Pacheco Nº 362
153,06.- HUANCAYO,JUNIN,JAUJA ,JAUJA ,ORA HOSPITAL DOMINGO OLAVEGOYA,734,ORA,DESPLAZAMIENTO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,San Martín Nº 1153 Urb. Olavegoya 
154,06.- HUANCAYO,JUNIN,SATIPO,SATIPO,ORA DE APOYO MANUEL HIGA ARAKAKI,735,ORA,DESPLAZAMIENTO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,Daniel Alcides Carrión Nº 398
155,06.- HUANCAYO,JUNIN,CHANCHAMAYO ,PICHANAQUI,ORA HOSPITAL DE APOYO PICHANAQUI,736,ORA,OPERATIVO,08:45 a 16:30,NO,NO,SI,SI,SI,SI,NO,NO,San Martín S/N Pichanaki
156,06.- HUANCAYO,JUNIN,HUANCAYO,HUANCAYO,ORA LA LIBERTAD,763,ORA,DESPLAZAMIENTO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,HUANCAS 695
157,06.- HUANCAYO,JUNIN,CHANCHAMAYO,LA MERCED,ORA HOSPITAL REGIONAL DOCENTE DE MEDICINA TROPICAL DR. JULIO DEMARINI CARO,764,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,Daniel A. Carrion S/N Av. Pampa Del Carmen S/N
158,06.- HUANCAYO,JUNIN,HUANCAYO,EL TAMBO,ORA HOSPITAL NACIONAL RAMIRO PRIALE,142,ORA,DESPLAZAMIENTO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,INDEPENDENCIA Nº 266
159,06.- HUANCAYO,JUNIN,SATIPO,PANGOA,ORA HOSPITAL DE PANGOA,737,ORA,DESPLAZAMIENTO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,La Cultura S/N
160,06.- HUANCAYO,JUNIN,HUANCAYO,CHILCA,ORA CHILCA,765,ORA,DESPLAZAMIENTO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,HUMBOLT 900
161,06.- HUANCAYO,JUNIN,SATIPO,PANGOA,PAP PANGOA,146,PAP,OPERATIVO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,SI,SI,07 de Junio Nº 641 Plaza Principal Centro Civico
162,06.- HUANCAYO,JUNIN,SATIPO,MAZAMARI,PAP MAZAMARI,279,PAP,OPERATIVO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,SI,SI,San Juan N° 377
163,06.- HUANCAYO,JUNIN,CONCEPCION,CONCEPCIÓN,PAP CONCEPCIÓN,282,PAP,OPERATIVO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,SI,SI,Ricardo Palma S/N Mercado Modelo Interior 1 
164,06.- HUANCAYO,JUNIN,JAUJA,JAUJA,PAP JAUJA,283,PAP,OPERATIVO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,SI,SI,Sucre N° 889
165,06.- HUANCAYO,JUNIN,JUNIN,JUNIN,PAP JUNIN,284,PAP,OPERATIVO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,SI,SI,Simón Bolivar N° 820
166,06.- HUANCAYO,JUNIN,YAULI,SANTA ROSA DE SACCO,PAP YAULI,286,PAP,OPERATIVO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,SI,SI,Miguel Grau N° 309
167,06.- HUANCAYO,JUNIN,SATIPO,SATIPO,PAP SATIPO,287,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Micaela Bastidas y Jr. Augusto B. Leguia Centro Civico 
168,06.- HUANCAYO,JUNIN,CHUPACA,CHUPACA,PAP CHUPACA,289,PAP,OPERATIVO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,SI,SI,Grau N° 195 - Centro Cívico
169,06.- HUANCAYO,JUNIN,CHANCHAMAYO,PICHANAQUI,PAP PICHANAQUI,292,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Independencia S/N Coliseo Municipal
170,06.- HUANCAYO,JUNIN,HUANCAYO,HUANCAYO,MAC JUNIN,1129,MAC,OPERATIVO,08:45 a 16:30,SI,NO,SI,SI,SI,NO,SI,SI,Ferrocarril N° 146 - 150 - Centro Comercial Open Plaza
171,07.- AYACUCHO,AYACUCHO,HUAMANGA,AYACUCHO,"ORA HOSPITAL REGIONAL DE AYACUCHO ""MIGUEL ANGEL MARISCAL LLERENA""",47,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,Av.Daniel Alcides Carrión S/N - 2da cuadra.
172,07.- AYACUCHO,AYACUCHO,LA MAR,AYNA,PAP AYNA -SAN FRANCISCO,119,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,28 de Julio S/N San Francisco
173,07.- AYACUCHO,AYACUCHO,HUAMANGA,AYACUCHO,OR HUAMANGA,121,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,"San Martin Nº 473, 475, 477 y 477A"
174,07.- AYACUCHO,AYACUCHO,CANGALLO,CANGALLO,PAP CANGALLO,122,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Maria Parado de Bellido Nº 205
175,07.- AYACUCHO,AYACUCHO,HUANTA,HUANTA,AG HUANTA,123,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Ayacucho N° 305
176,07.- AYACUCHO,AYACUCHO,LA MAR,SAN MIGUEL,PAP LA MAR,124,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Maria Parado de Bellido S/N 
177,07.- AYACUCHO,AYACUCHO,VICTOR FAJARDO,HUANCAPI,PAP VICTOR FAJARDO,127,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Plaza Principal Nº 127
178,07.- AYACUCHO,AYACUCHO,HUANCA SANCOS,SANCOS,PAP HUANCASANCOS,128,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Progreso S/N Consejo Provincial de Huanca Sancos
179,07.- AYACUCHO,AYACUCHO,VILCAS HUAMAN,VILCAS HUAMAN,PAP VILCASHUAMAN,129,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Los Incas Nº 222
180,07.- AYACUCHO,AYACUCHO,SUCRE,QUEROBAMBA,PAP SUCRE,131,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,San Martin S/N  Plaza de Armas Consejo Provincial de Sucre
181,07.- AYACUCHO,AYACUCHO,HUANTA,HUANTA,"ORA HOSPITAL DE APOYO HUANTA ""DANIEL ALCIDES CARRION""",213,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,Mariscal Castilla Nº 628
182,07.- AYACUCHO,AYACUCHO,LA MAR,SAN MIGUEL,ORA SAN MIGUEL,454,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,Ramon Castilla s/n
183,07.- AYACUCHO,AYACUCHO,CANGALLO,CANGALLO,ORA HOSPITAL DE APOYO CANGALLO,455,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,Santa Rosa N° 110
184,07.- AYACUCHO,CUSCO,LA CONVENCION,PICHARI,PAP PICHARI,172,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,BRASIL S/N
185,07.- AYACUCHO,APURIMAC,CHINCHEROS,CHINCHEROS,PAP CHINCHEROS,77,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,COTABAMBAS N° 121
186,07.- AYACUCHO,AYACUCHO,LA MAR,SAMUGARI,PAP SAMUGARI -PALMAPAMPA,500,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Los Laureles S/N – Palmapampa Distrital de Samugari
187,07.- AYACUCHO,AYACUCHO,LA MAR,TAMBO,ORA TAMBO,620,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,Lima s/n
188,07.- AYACUCHO,AYACUCHO,HUAMANGA,JESUS NAZARENO,ORA HOSPITAL DE APOYO JESUS NAZARENO,628,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,Ciro Alegría Nº 547
189,07.- AYACUCHO,APURIMAC,ANDAHUAYLAS,TALAVERA,OR ANDAHUAYLAS,73,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Amauta N° 311
190,07.- AYACUCHO,APURIMAC,CHINCHEROS,ANCCO HUALLO,ORA  CENTRO DE SALUD URIPA ,458,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO, Túpac Amaru S/N – URIPA
191,07.- AYACUCHO,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,ORA HOSPITAL REGIONAL DOCENTE  HUGO PESCE PESCETTO ANDAHUAYLAS ,459,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,Hugo Pesce Pesceto S/N
192,07.- AYACUCHO,AYACUCHO,HUANTA,SIVIA,ORA HOSPITAL DE APOYO DE SIVIA,357,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,Gervacio Santillana S/N
193,07.- AYACUCHO,CUSCO,LA CONVENCION,KIMBIRI,ORA CENTRO DE SALUD SAN JUAN DE KIMBIRI,699,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,Aeropuerto S/N
194,07.- AYACUCHO,CUSCO,LA CONVENCION,PICHARI,ORA HOSPITAL DE APOYO PICHARI,629,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,Amazonas s/n
195,07.- AYACUCHO,APURIMAC,CHINCHEROS,CHINCHEROS,ORA HOSPITAL DE APOYO CHINCHEROS,457,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,Fernando Belaunde Terry S/N
196,07.- AYACUCHO,AYACUCHO,CANGALLO,LOS MOROCHUCOS,ORA PAMPA CANGALLO,631,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,María Arguedas S/N
197,08.- AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,ORA HOSPITAL REGIONAL HONORIO DELGADO ESPINOZA,52,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Daniel Alcides Carrión N° 505
198,08.- AREQUIPA,TACNA,TACNA,TACNA,ORA TACNA,54,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Blondel S/N
199,08.- AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,OR AREQUIPA,91,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,San Juan de Dios N° 122 y Santo Domingo N° 101
200,08.- AREQUIPA,AREQUIPA,CAYLLOMA,CHIVAY,PAP CAYLLOMA,92,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Siglo XX S/N
201,08.- AREQUIPA,AREQUIPA,CAMANA,CAMANA,AG CAMANA,93,AG,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,Mariscal Castilla N° 221
202,08.- AREQUIPA,AREQUIPA,CARAVELI,CARAVELÍ,PAP CARAVELI,94,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Bolivar S/N
203,08.- AREQUIPA,AREQUIPA,CASTILLA,APLAO,PAP CASTILLA,95,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Progreso S/N
204,08.- AREQUIPA,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,PAP CONDESUYOS,96,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Alameda S/N - Los Tres Errantes
205,08.- AREQUIPA,AREQUIPA,ISLAY,MOLLENDO,AG ISLAY,97,AG,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,Arequipa Nº 261 
206,08.- AREQUIPA,AREQUIPA,LA UNION,COTAHUASI,PAP LA UNION,98,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Centenario N° 202 - Cotahuasi
207,08.- AREQUIPA,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,ORA HOSPITAL REGIONAL MOQUEGUA,145,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Simón Bolívar N° 505
208,08.- AREQUIPA,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,AG MARISCAL NIETO,481,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Lima Nº 676
209,08.- AREQUIPA,MOQUEGUA,ILO,ILO,AG ILO,483,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Ayacucho N° 529
210,08.- AREQUIPA,AREQUIPA,CAYLLOMA,MAJES,AG MAJES,511,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Arequipa S/N - Tienda 06 del Estadio Almirante Miguel Grau - Pedregal
211,08.- AREQUIPA,AREQUIPA,AREQUIPA,CAYMA,AG CAYMA,579,AG,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,SI,NO,NO,NO,Ramón Castilla S/N - Estadio La Tomilla
212,08.- AREQUIPA,TACNA,TACNA,TACNA,AG TACNA,621,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Deustua Nº 173
213,08.- AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,ORA HOSPITAL III GOYENECHE,725,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Goyeche N° 100
214,08.- AREQUIPA,AREQUIPA,CAMANA,CAMANA,ORA HOSPITAL DE CAMANA,726,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Lima 550
215,08.- AREQUIPA,AREQUIPA,AREQUIPA,PAUCARPATA,MAC - AREQUIPA,762,MAC,OPERATIVO,08:30 a 16:30,SI,NO,SI,SI,SI,NO,SI,SI,Porongoche N° 500 Paucarpata - Centro Comercial Mall Aventura 
216,08.- AREQUIPA,AREQUIPA,CAYLLOMA,MAJES,ORA HOSPITAL CENTRAL DE MAJES- ANGEL GABRIEL CHURA GALLEGOS,727,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Asentamiento B1 lote 1 Irrig. Majes
217,08.- AREQUIPA,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,MAC - MOQUEGUA,839,MAC,Desplazamiento,08:30 a 16:30,NO,NO,SI,SI,SI,NO,NO,NO,"Circunvalación 1B Sub lote 1-A, Moquegua"
218,08.- AREQUIPA,AREQUIPA,AREQUIPA,YURA,PANP YURA,865,PANP,Desplazamiento,07:30 a 15:30,NO,NO,SI,SI,SI,NO,NO,NO,Asoc Ciudad de Dios Z-3 Yura
219,08.- AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,PAP PASEO CENTRAL,1040,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Arturo Ibañez S/N
220,08.- AREQUIPA,AREQUIPA,AREQUIPA,CERRO COLORADO,C.S. MARITZA CAMPOS DIAZ,750,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Yavari S/N
221,08.- AREQUIPA,AREQUIPA,AREQUIPA,PAUCARPATA,HOSPITAL EDMUNDO ESCOMEL,336,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,EL Cayro S/N
222,08.- AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,HOSPITAL CARLOS ALBERTO SEGUIN ESCOBEDO,514,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Peral S/N
