DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO DE ATENCION,ESTADO,HORARIOS,DIRECCION
LAMBAYEQUE,CHICLAYO,CHICLAYO,OR CHICLAYO,OPERATIVO,08:45 a 16:45,Avenida Balta N° 680 y esquina con Av. Elias Aguirre
LAMBAYEQUE,FERREÑAFE,FERREÑAFE,PAP FERREÑAFE,OPERATIVO,08:45 a 16:45,Calle Tres Marías Nº 717  B
LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,PAP LAMBAYEQUE,OPERATIVO,08:45 a 16:45,Avenida Huamachuco N° 342
CAJAMARCA,CUTERVO,CUTERVO,ORA SANTA MARIA DE CUTERVO (MINSA),OPERATIVO,08:45 a 16:30,Jirón Ica S/N
CAJAMARCA,CHOTA,CHOTA,ORA HOSPITAL DE APOYO CHOTA - JOSE SOTO CADENILLAS (MINSA),OPERATIVO,08:45 a 16:30,Jirón Ezequiel Montoya Nª 718
PIURA,AYABACA,AYABACA,PAP AYABACA,OPERATIVO,08:45 a 16:45,Calle Bolognesi N° 181
PIURA,PIURA,TAMBO GRANDE,ORA TAMBO GRANDE (MINSA),OPERATIVO,08:45 a 16:30,"Avenida Froilan Alama,, AA.HH.Froilan Alama"
PIURA,HUANCABAMBA,HUANCABAMBA,PAP HUANCABAMBA,OPERATIVO,08:45 a 16:45,Complejo Terminal Terrestre S/N - Stand 14
PIURA,MORROPON,CHULUCANAS,AG CHULUCANAS,OPERATIVO,08:45 a 16:45,Calle Cuzco N° 202
PIURA,PAITA,PAITA,PAP PAITA,OPERATIVO,08:45 a 16:45,Jirón San Martin S/N Plaza de Armas - Municipalidad de Paita
PIURA,SULLANA,SULLANA,OR SULLANA,OPERATIVO,08:45 a 16:45,Calle Leoncio Prado Nº 517
PIURA,TALARA,PARIÑAS,AG TALARA,OPERATIVO,08:45 a 16:45,Avenida Mártires Petroleros B-3 Conjunto Habitacional - Talara
PIURA,SECHURA,SECHURA,PAP SECHURA,OPERATIVO,08:45 a 16:45,Calle Dos de Mayo Nº 618 - Plaza de Armas - Municipalidad de Sechura
PIURA,PIURA,TAMBO GRANDE,PAP TAMBOGRANDE,OPERATIVO,08:45 a 16:45,Jirón Piura 375
PIURA,PIURA,PIURA,MAC - PIURA,OPERATIVO,08:30 a 16:30,Avenida Sanchez Cerro con Wiesse Centro Comercial Real Plaza
TUMBES,TUMBES,TUMBES,OR TUMBES,OPERATIVO,08:45 a 16:45,Avenida Tumbes Norte  Nº 550
TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,PANP CONTRALMIRANTE VILLAR - ZORRITOS,DESPLAZAMIENTO,08:45 a 16:45,Avenida Grau Nº 305
TUMBES,ZARUMILLA,ZARUMILLA,PAP ZARUMILLA,OPERATIVO,08:45 a 16:45,Avenida El Ejérrcito Nº 105 - Interior Biblioteca Municipal
LAMBAYEQUE,LAMBAYEQUE,OLMOS,PANP OLMOS,DESPLAZAMIENTO,08:45 a 16:45,Avenida A. B. Leguía/Calle Alfonso Ugarte
LA LIBERTAD,GRAN CHIMU,CASCAS,PAP GRAN CHIMU,OPERATIVO,08:45 a 13:00 - 14:00 a 16:45,Jr. San Martin S/N
CAJAMARCA,HUALGAYOC,BAMBAMARCA,ORA BAMBAMARCA - TITO VILLAR CABEZAS (MINSA),OPERATIVO,08:45 a 13:00 - 14:00 a 16:30,Barrio Amazonas - Bambamarca
LORETO,MARISCAL RAMON CASTILLA,SANTA ROSA DE LORETO,PAP SANTA ROSA DE LORETO,DESPLAZAMIENTO,08:45 a 16:45,Calle mi Perú S/N
CAJAMARCA,CELENDIN,CELENDÍN,ORA DE APOYO CELENDIN (MINSA),OPERATIVO,08:45 a 13:00 - 14:00 a 16:30,Avenida Túpac Amaru Cdra. 4
SAN MARTIN,SAN MARTIN,TARAPOTO,OR TARAPOTO,OPERATIVO,08:45 a 16:45,Jirón Jiménez Pimentel N° 280
SAN MARTIN,BELLAVISTA,BELLAVISTA,AG BELLAVISTA,OPERATIVO,08:45 a 16:45,Jirón Huallaga - Iquitos Mz. 7 Lt. 27 - A.  1er. Piso
SAN MARTIN,PICOTA,PICOTA,AG PICOTA,OPERATIVO,08:45 a 16:45,"Jirón Simón Bolívar, cuadra 4"
SAN MARTIN,EL DORADO,SAN JOSE DE SISA,AG EL DORADO,OPERATIVO,08:45 a 16:45,Jirón Comercio N° 610
LORETO,DATEM DEL MARAÑON,BARRANCA,ORA SAN LORENZO - NUCLEO BASE (MINSA),OPERATIVO,08:45 a 16:30,Barrio Daniel Alcides Carrión S/N - Barrio Huacachina
SAN MARTIN,SAN MARTIN,LA BANDA DE SHILCAYO,AG LA BANDA DE SHILCAYO,OPERATIVO,08:45 a 16:45,Jirón Yurimaguas N° 340
SAN MARTIN,MARISCAL CACERES,JUANJUI,ORA HOSPITAL JUANJUI (MINSA),OPERATIVO,08:45 a 16:30,Jirón Arica N° 205
SAN MARTIN,RIOJA,RIOJA,ORA HOSPITAL DE RIOJA (MINSA),OPERATIVO,08:45 a 16:30,Jirón Túpac Amaru S/N
LORETO,ALTO AMAZONAS,LAGUNAS,AG LAGUNAS,OPERATIVO,08:45 a 16:45,Jirón FITZCARRALD C-9
SAN MARTIN,SAN MARTIN,MORALES,PANP MORALES,OPERATIVO,08:45 a 16:45,Jirón Tarapoto N° 116 Plaza de Armas
LORETO,ALTO AMAZONAS,YURIMAGUAS,ORA HOSPITAL SANTA GEMA YURIMAGUAS (MINSA),OPERATIVO,08:45 a 16:30,CALLE HUALLAGA  C-4
LORETO,MAYNAS,PUNCHANA,"ORA HOSPITAL REGIONAL DE LORETO ""FELIPE ARRIOLA IGLESIAS""",OPERATIVO,08:45 a 16:30,Avenida 28 de Julio S/N
LORETO,MAYNAS,IQUITOS,"ORA HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""",OPERATIVO,08:45 a 16:30,Calle Cornejo Portugal 1710
LORETO,MAYNAS,BELÉN,OR BELEN,OPERATIVO,08:45 a 16:45,Calle Miraflores S/N P. J. 09 de Octubre
LORETO,MAYNAS,IQUITOS,OR IQUITOS,OPERATIVO,08:45 a 16:45,Jirón Próspero Nº 201
LORETO,LORETO,NAUTA,PAP NAUTA,OPERATIVO,08:45 a 16:45,Cal. Manuel Pacaya N° 570 centro cívico
LORETO,REQUENA,REQUENA,PAP REQUENA,OPERATIVO,08:45 a 16:45,Calle San Antonio S/N Anexo Hotel Municipal
LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,PAP MARISCAL RAMON CASTILLA - CABALLOCOCHA,OPERATIVO,08:45 a 16:45,Calle Ayacucho Mz. 22 Lt. 4 C con Amazonas S/N - Local Municipal
LORETO,MAYNAS,SAN JUAN BAUTISTA,OR SAN JUAN BAUTISTA,OPERATIVO,08:45 a 16:45,Avenida Abelardo Quiñones Nº 2371 Km. 2.5
LORETO,MARISCAL RAMON CASTILLA,YAVARI,PAP YAVARI,OPERATIVO,08:45 a 16:45,Calle Nueva Jerusalen S/N Local Municipal
LORETO,PUTUMAYO,PUTUMAYO,PAP PUTUMAYO,OPERATIVO,08:45 a 16:45,Calle Arequipa S/N
LORETO,MAYNAS,PUNCHANA,PAP PUNCHANA,OPERATIVO,08:45 a 16:45,"Calle Cusco S/N, cuadra 5, esquina con Trujillo."
LORETO,REQUENA,REQUENA,ORA REQUENA,OPERATIVO,08:45 a 16:30,Calle Mártires del Petroléo S/N - Malecon Grau
LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,ORA CABALLOCOCHA,OPERATIVO,08:45 a 16:30,Calle Progreso N° 425
LORETO,MAYNAS,PUNCHANA,MAC - LORETO,OPERATIVO,08:30 a 16:30,Avenida La Marina Nº  1338
LORETO,MAYNAS,IQUITOS,AGENTE RENIEC - OR IQUITOS,OPERATIVO,08:45 a 16:45,Jirón Próspero Nº 201
LORETO,PUTUMAYO,TENIENTE MANUEL CLAVERO,PAP SOPLIN VARGAS,OPERATIVO,08:45 a 16:45,Plaza de armas S/N
SAN MARTIN,RIOJA,RIOJA,OR RIOJA,OPERATIVO,08:45 a 16:45,Jirón Angaiza N° 530
SAN MARTIN,MARISCAL CACERES,JUANJUI,AG MARISCAL CACERES,OPERATIVO,08:45 a 16:45,Jirón Eduardo Peña Meza N° 772
SAN MARTIN,LAMAS,LAMAS,AG LAMAS,OPERATIVO,08:45 a 16:45,Jirón San Martín N° 984
LA LIBERTAD,OTUZCO,OTUZCO,ORA DE APOYO OTUZCO ELPIDIO BEROVIDES PEREZ (MINSA),OPERATIVO,08:45 a 13:00 - 14:00 a 16:30,Calle Progreso N° 385
CAJAMARCA,CAJABAMBA,CAJABAMBA,ORA HOSPITAL NUESTRA SEÑORA DEL ROSARIO (MINSA),OPERATIVO,08:45 a 13:00 - 14:00 a 16:30,Caserio Parubamba
CAJAMARCA,SAN MARCOS,PEDRO GÁLVEZ,ORA SAN MARCOS (MINSA),DESPLAZAMIENTO,08:45 a 13:00 - 14:00 a 16:30,Avenida 28 de Julio S/N Cdra.2
LA LIBERTAD,TRUJILLO,EL PORVENIR,OR EL PORVENIR,OPERATIVO,08:45 a 16:45,Jirón Gabriel Aguilar Nº 1657. 2do piso.
LA LIBERTAD,TRUJILLO,ALTO TRUJILLO,OR ALTO TRUJILLO,OPERATIVO,08:45 a 16:45,Barrio 3 Mz T Lt. 2
CAJAMARCA,CAJAMARCA,CAJAMARCA,ORA SIMON BOLIVAR (MINSA),OPERATIVO,08:45 a 16:30,Avenida Mario Urteaga N° 500
LA LIBERTAD,PACASMAYO,GUADALUPE,ORA DE APOYO TOMÁS LAFORA (MINSA),OPERATIVO,08:45 a 13:00 - 14:00 a 16:30,Calle La Victoria S/N
CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,ORA BAÑOS DEL INCA (MINSA),OPERATIVO,08:45 a 13:00 - 14:00 a 16:30,Jirón Pachacútec N° 489
LA LIBERTAD,TRUJILLO,LA ESPERANZA,ORA DISTRITAL JERUSALEN (MINSA),OPERATIVO,08:45 a 13:00 - 14:00 a 16:30,Pasaje 1 Barrio 3 Mz. 20 Lt. 02 Sector Jerusalén
LA LIBERTAD,PATAZ,CHILLIA,AG CHILLIA,OPERATIVO,08:45 a 13:00 - 14:00 a 16:45,Jirón Miraflores S/N
LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,ORA DE APOYO CESAR ABRAHAM VALLEJO MENDOZA (MINSA),OPERATIVO,08:45 a 13:00 - 14:00 a 16:30,Calle Gustavo Pinillo S/N - Barrio San Cristobal
LA LIBERTAD,CHEPEN,CHEPEN,ORA DE APOYO CHEPEN (MINSA),DESPLAZAMIENTO,08:45 a 13:00 - 14:00 a 16:30,Avenida 28 de Julio S/N
LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,ORA DE APOYO LEONCIO PRADO (MINSA),OPERATIVO,08:45 a 13:00 - 14:00 a 16:30,Avenida 10 de Julio N° 209
LA LIBERTAD,ASCOPE,PAIJAN,ORA PAIJAN (MINSA),DESPLAZAMIENTO,08:45 a 13:00 - 14:00 a 16:30,Carretera Vía Panamericana S/N Sector Manco Capac
SAN MARTIN,HUALLAGA,SAPOSOA,AG HUALLAGA,OPERATIVO,08:45 a 16:45,Jirón Lima N° 591
CAJAMARCA,CAJAMARCA,CAJAMARCA,MAC - CAJAMARCA,OPERATIVO,08:30 a 16:30,Avenida Via De Evitamiento. Jr. El Mutuy y Av. La Cantuta - Cajamarca - Centro Comercial Real Plaza 2do. Piso
LA LIBERTAD,VIRU,VIRU,ORA PROVINCIAL DE VIRÚ (MINSA),OPERATIVO,08:45 a 13:00 - 14:00 a 16:30,Calle Sucre Nº 799
LA LIBERTAD,TRUJILLO,TRUJILLO,ORA HOSPITAL VÍCTOR LAZARTE ECHEGARAY (ESSALUD),OPERATIVO,08:45 a 13:00 - 14:00 a 16:30,Avenida Prolongación Unión 1375
CAJAMARCA,CONTUMAZA,CHILETE,PANP CHILETE,OPERATIVO,08:45 a 13:00 - 14:00 a 16:45,Jr. Arequipa N° 330
LA LIBERTAD,JULCAN,JULCAN,PAP JULCAN,OPERATIVO,08:45 a 13:00 - 14:00 a 16:45,"Avenida 28 de Julio N° 201, Centro Cívico"
LA LIBERTAD,TRUJILLO,TRUJILLO,AGENTE RENIEC - OR TRUJILLO,OPERATIVO,08:45 a 16:45,Avenida Pablo Casals Mz. A Lt. 6 Urb. Los Cedros
SAN MARTIN,SAN MARTIN,TARAPOTO,ORA HOSPITAL TARAPOTO (MINSA),OPERATIVO,08:45 a 16:30,Jirón Angel Delgado Morey Nº 503
LORETO,DATEM DEL MARAÑON,BARRANCA,PAP DATEM DEL MARAÑON,OPERATIVO,08:45 a 16:45,Calle Tigre Mz. 31 Lt. 08 - San Lorenzo
SAN MARTIN,RIOJA,NUEVA CAJAMARCA,AG NUEVA CAJAMARCA,OPERATIVO,08:45 a 16:45,Carretera Fernando Belaunde Terry Altura del Km. 447.50
LORETO,ALTO AMAZONAS,YURIMAGUAS,AG ALTO AMAZONAS,OPERATIVO,08:45 a 16:45,Calle Mariscal Castilla N° 411
SAN MARTIN,MOYOBAMBA,MOYOBAMBA,ORA HOSPITAL MOYOBAMBA (MINSA),OPERATIVO,08:45 a 16:30,Jirón Grau cuadra 4
SAN MARTIN,MOYOBAMBA,MOYOBAMBA,AG MOYOBAMBA,OPERATIVO,08:45 a 16:45,Jirón Dos de Mayo Mz. 1530 Lt. 14 (837)
CUSCO,ANTA,ANTA,PAP ANTA,OPERATIVO,08:45 a 16:45,"Jirón Jaquijahuana  S / N, Izcuchaca"
ANCASH,SANTA,NUEVO CHIMBOTE,AG NUEVO CHIMBOTE,OPERATIVO,08:45 a 16:45,Mz. 74-75 Lt. 1 del Centro Cívico de la Municipalidad Distrital de Nuevo Chimbote
CUSCO,CANAS,YANAOCA,PAP CANAS,OPERATIVO,08:45 a 16:45,Plaza de Armas S/N
ICA,ICA,ICA,AGENTE RENIEC  - MEGA PLAZA ICA,OPERATIVO,08:45 a 16:45,Avenida Los Maestros S/N C.C. Mega Plaza Segundo Piso
UCAYALI,CORONEL PORTILLO,CALLERIA,ORA HOSPITAL REGIONAL DE PUCALLPA (MINSA),OPERATIVO,08:45 a 16:30,Jirón Luis Escavino N° 317
HUANUCO,PUERTO INCA,PUERTO INCA,PAP PUERTO INCA,OPERATIVO,08:45 a 16:45,Jirón Vulcano S/N
UCAYALI,CORONEL PORTILLO,YARINACOCHA,ORA HOSPITAL AMAZÓNICO - YARINACOCHA (MINSA),OPERATIVO,08:45 a 16:30,Jirón Aguaytia N° 605
LORETO,UCAYALI,CONTAMANA,PAP CONTAMANA,OPERATIVO,08:45 a 16:45,Calle Nuevo Loreto Mz.38C  Lt.5B
UCAYALI,PADRE ABAD,IRAZOLA,AG IRAZOLA,OPERATIVO,08:45 a 16:45,Calle Progreso S/N
UCAYALI,CORONEL PORTILLO,CALLERIA,OR PUCALLPA,OPERATIVO,08:45 a 16:45,"Jirón 09 de Diciembre N° 378 y Tacna Nº 891 Mz. 07 Lt. Acumulado 1-B, independiente."
UCAYALI,PADRE ABAD,PADRE ABAD,PAP PADRE ABAD,OPERATIVO,08:45 a 16:45,Avenida Grau Nº 214
UCAYALI,ATALAYA,RAIMONDI,PAP ATALAYA,OPERATIVO,08:45 a 16:45,Jirón Rioja Nº 659
UCAYALI,PURUS,PURUS,PAP PURUS,OPERATIVO,08:45 a 16:45,Avenida Purus S/N
UCAYALI,ATALAYA,TAHUANIA,PAP TAHUANIA,OPERATIVO,08:45 a 16:45,Jirón 7 de Junio  S/N
UCAYALI,CORONEL PORTILLO,YARINACOCHA,MAC - UCAYALI,OPERATIVO,08:30 a 16:30,Avenida Centenario 1642 (2do piso) Centro Comercial Real Plaza
HUANCAVELICA,HUANCAVELICA,IZCUCHACA,PAP IZCUCHACA,OPERATIVO,08:45 a 16:45,Avenida Ferrocarril  S/N
HUANCAVELICA,ACOBAMBA,PAUCARA,PAP PAUCARA,OPERATIVO,08:45 a 16:45,Plaza Mayor S/N
HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,ORA HOSPITAL REGIONAL ZACARIAS CORREA VALDIVIA (MINSA),OPERATIVO,08:45 a 16:30,Avenida Andrés Avelino Cáceres S/N - Barrio Yananaco
HUANCAVELICA,HUANCAVELICA,HUANDO,ORA HUANDO (MINSA),OPERATIVO,08:45 a 16:30,Calle Cementerio s/n
HUANCAVELICA,HUANCAVELICA,ASCENSIÓN,ORA HOSPITAL II HUANCAVELICA (ESSALUD),OPERATIVO,08:45 a 16:30,Avenida Teresa de Jurnet S/N
HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,OR HUANCAVELICA,OPERATIVO,08:45 a 16:45,"Avenida San Cristóbal Nº 384, 386 y 388"
HUANCAVELICA,ACOBAMBA,ACOBAMBA,OR ACOBAMBA,OPERATIVO,08:45 a 16:45,Jirón Dos De Mayo N° 459
HUANCAVELICA,ANGARAES,LIRCAY,OR ANGARAES,OPERATIVO,08:45 a 16:45,Avenida Centenario S/N - Barrio de Pueblo Nuevo - Dentro del Centro Civico
HUANCAVELICA,CASTROVIRREYNA,CASTROVIRREYNA,OR CASTROVIRREYNA,OPERATIVO,08:45 a 16:45,Avenida Los Libertadores S/N
HUANCAVELICA,TAYACAJA,PAMPAS,OR TAYACAJA,OPERATIVO,08:45 a 16:45,Jirón Manco Capac S/N con Jirón Alfonso Ugarte Cordova y Necochea - Coliseo Multiuso
HUANCAVELICA,HUAYTARA,HUAYTARA,OR HUAYTARA,OPERATIVO,08:45 a 16:45,Calle 24 de Junio S/N - 2do piso Centro Cívico
HUANCAVELICA,CHURCAMPA,CHURCAMPA,OR CHURCAMPA,OPERATIVO,08:45 a 16:45,Jirón Real N° 255
HUANCAVELICA,TAYACAJA,PAMPAS,ORA HOSPITAL DE PAMPAS (MINSA),OPERATIVO,08:45 a 16:30,Jirón Bolívar S/N
HUANCAVELICA,ANGARAES,LIRCAY,ORA LIRCAY (MINSA),DESPLAZAMIENTO,08:45 a 16:30,Avenida Esmeralda S/N
HUANCAVELICA,TAYACAJA,SURCUBAMBA,AG SURCUBAMBA,OPERATIVO,08:45 a 16:45,Calle Alfonso Ugarte S/N
HUANCAVELICA,TAYACAJA,COLCABAMBA,AG COLCABAMBA,OPERATIVO,08:45 a 16:45,Avenida Centenario S/N
AYACUCHO,PAUCAR DES SARA SARA,PAUZA,PAP PAUCAR DEL SARA SARA,OPERATIVO,08:45 a 16:45,Jirón Miguel de Cervantes N° 455 (Palacio Municipal)
ICA,ICA,ICA,MAC - ICA,OPERATIVO,08:30 a 17:00,Avenida Los Maestros S/N C.C. Mega Plaza Segundo Piso
PUNO,MOHO,MOHO,PAP MOHO,DESPLAZAMIENTO,08:45 a 16:45,Circunvalación S/N Terminal Terrestre
ICA,NASCA,MARCONA,PAP MARCONA,OPERATIVO,08:45 a 16:45,Calle Andres Avelino Caceres S/N
PUNO,CHUCUITO,JULI,ORA JULI,OPERATIVO,08:45 a 16:45,Panamericana S/N
PUNO,HUANCANE,HUANCANE,ORA HOSPITAL LUCIO ALDAZABAL PAUCA,OPERATIVO,08:45 a 16:45,Santa Cruz S/N
PUNO,MELGAR,AYAVIRI,ORA SAN JUAN DE DIOS (AYAVIRI),OPERATIVO,08:45 a 16:45,Progreso S/N
PUNO,SAN ROMAN,JULIACA,ORA CENTRO DE SALUD CLAS SANTA ADRIANA,OPERATIVO,08:45 a 16:45,Pachacutec S/N
PUNO,SAN ROMAN,SAN MIGUEL,PAP SAN MIGUEL - JR11,OPERATIVO,08:45 a 16:45,Palacio Municipal S/N
PUNO,CHUCUITO,DESAGUADERO,PAP DESAGUADERO,OPERATIVO,08:45 a 16:45,28 de Julio N° 305 - Desaguadero
PUNO,PUNO,ACORA,PAP ACORA,OPERATIVO,08:45 a 16:45,Plaza de Armas (Palacio Municipal)
PUNO,SAN ROMAN,JULIACA,MAC PUNO,OPERATIVO,08:45 a 16:45,San Martin lote 07
PUNO,CARABAYA,CRUCERO,PANP CRUCERO,DESPLAZAMIENTO,08:45 a 16:45,Plaza de Armas S/N
ICA,ICA,ICA,ORA REGIONAL DE ICA (MINSA),OPERATIVO,08:45 a 16:30,Avenida Huacachina S/N
AYACUCHO,LUCANAS,PUQUIO,AG LUCANAS,OPERATIVO,08:45 a 16:45,Jirón San Pedro  Nº 216
AYACUCHO,PARINACOCHAS,CORACORA,AG PARINACOCHAS,OPERATIVO,08:45 a 16:45,Jirón Bolognesi N° 419 Plaza de Armas
ICA,ICA,PARCONA,PAP PARCONA,OPERATIVO,08:45 a 16:45,Avenida Jhon F. Kennedy N° 500 con Calle Lima S/N (Costado del Palacio Municipal)
ICA,ICA,ICA,OR ICA,OPERATIVO,08:45 a 16:45,Avenida San Martin N° 1366 Mz. M-02 Lt. 035. Urb. San Isidro
ICA,CHINCHA,CHINCHA ALTA,AG CHINCHA,OPERATIVO,08:45 a 16:45,Calle Los Angeles N° 300
ICA,NASCA,NASCA,AG NASCA,OPERATIVO,08:45 a 16:45,Calle Fermin del Castillo N° 270
ICA,PISCO,PISCO,AG PISCO,OPERATIVO,08:45 a 16:45,Calle San Juan de Dios N° 288
ICA,PALPA,PALPA,AG PALPA,OPERATIVO,08:45 a 16:45,Calle Portal de Escribanos Nº 145
AYACUCHO,LUCANAS,CABANA,PAP CABANA,DESPLAZAMIENTO,08:45 a 16:45,Jirón Jorge Chavez N° 272
AYACUCHO,LUCANAS,PUQUIO,ORA FELIPE HUAMAN POMA DE AYALA (MINSA),OPERATIVO,08:45 a 16:30,Avenida Arnaldo Alvarado S/N
AYACUCHO,PARINACOCHAS,CORACORA,ORA HOSPITAL DE APOYO DE CORACORA (MINSA),OPERATIVO,08:45 a 16:30,Avenida La Cultura S/N
ICA,ICA,ICA,ORA SANTA MARIA DEL SOCORRO (MINSA),OPERATIVO,08:45 a 16:30,Calle Castrovirreyna N° 759
ICA,PISCO,PISCO,ORA SAN JUAN DE DIOS (MINSA),OPERATIVO,08:45 a 16:30,Avenida Fermín Tanguis S/N (Altura del Fundo Alto de la Luna)
ICA,CHINCHA,CHINCHA ALTA,ORA SAN JOSE DE CHINCHA (MINSA),OPERATIVO,08:45 a 16:30,Avenida Abelardo Alva Maurtua Nº 600
AYACUCHO,LUCANAS,LARAMATE,PANP LARAMATE,DESPLAZAMIENTO,08:45 a 16:45,Jirón Ica S/N
ICA,NASCA,NASCA,ORA HOSPITAL DE APOYO DE NASCA (MINSA),OPERATIVO,08:45 a 16:30,Calle Callao S/N - 5ta Cuadra
ICA,ICA,ICA,ORA AUGUSTO HERNANDEZ MENDOZA (ESSALUD),OPERATIVO,08:45 a 16:30,Calle José Matias Manzanilla S/N
HUANCAVELICA,HUANCAVELICA,YAULI,ORA YAULI (MINSA),OPERATIVO,08:45 a 16:30,Avenida Jorge Chávez S/N
HUANCAVELICA,ACOBAMBA,PAUCARA,ORA PAUCARA (MINSA),OPERATIVO,08:45 a 16:30,Calle Lircay s/n
HUANCAVELICA,CHURCAMPA,CHURCAMPA,ORA CHURCAMPA (MINSA),DESPLAZAMIENTO,08:45 a 16:30,Calle Ricardo Palma N° 535 (Instalaciones del Centro de Salud)
PASCO,PASCO,YANACANCHA,ORA DR. DANIEL ALCIDES CARRION GARCIA (MINSA),OPERATIVO,08:45 a 16:30,Avenida Los Incas S/N Urb. San Juan
HUANUCO,HUANUCO,AMARILIS,ORA CARLOS SHOWING FERRARI (MINSA),OPERATIVO,08:45 a 16:30,Jirón Micaela Bastidas S/N Paucarbamba
PASCO,OXAPAMPA,OXAPAMPA,ORA HOSPITAL ERNESTO GERMAN GUZMAN GONZALES (MINSA),OPERATIVO,08:45 a 16:30,Jirón Eduardo Loechle S/N - Chontabamba
HUANUCO,HUANUCO,HUANUCO,MAC - HUÁNUCO,OPERATIVO,08:30 a 16:30,"Jirón Independencia N° 1601, Centro Comercial Real Plaza, Primer Piso"
HUANUCO,PACHITEA,UMARI,ORA TAMBILLO UMARI (MINSA),DESPLAZAMIENTO,08:45 a 16:30,Carretera Huanuco - Panao Km 37
HUANUCO,YAROWILCA,CHAVINILLO,ORA CHAVINILLO (MINSA),DESPLAZAMIENTO,08:45 a 16:30,Avenida San Juan N° 102
PASCO,OXAPAMPA,CONSTITUCIÓN,AG CONSTITUCION,OPERATIVO,08:45 a 16:45,Avenida Fernando Belaunde S/N 4ta Etapa del Distrito de Constitución
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,OR CHACHAPOYAS,OPERATIVO,08:45 a 16:45,Jirón Ortiz Arrieta 1135- 1137
AMAZONAS,BAGUA,BAGUA,PAP BAGUA,OPERATIVO,08:45 a 16:45,Jirón Los Cedros Nº 263
AMAZONAS,BONGARA,JAZAN,AG BONGARA,OPERATIVO,08:45 a 16:45,Avenida Marginal  Nº 100 -Pedro Ruíz
AMAZONAS,LUYA,LUYA,AG LUYA,OPERATIVO PARCIAL,08:45 a 16:45,Jirón Diego Mori Zuta N° 447
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLÁS,AG RODRIGUEZ DE MENDOZA,OPERATIVO,08:45 a 16:45,Jr. Blas Valera N° 409
AMAZONAS,CONDORCANQUI,NIEVA,PAP CONDORCANQUI,OPERATIVO,08:45 a 16:45,Calle Gonzalo puerta S/N
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,PAP UTCUBAMBA,OPERATIVO,08:45 a 16:45,Jirón Simón Bolivar N° 545
CAJAMARCA,JAEN,JAEN,OR JAEN,OPERATIVO,08:45 a 16:45,Calle Mariscal Ureta Nº 915
CAJAMARCA,SAN IGNACIO,SAN IGNACIO,PAP SAN IGNACIO,OPERATIVO,08:45 a 16:45,Pasaje Santa Rosa 107 - 109 - cuadra 1
AMAZONAS,BAGUA,IMAZA,OR IMAZA,OPERATIVO,08:45 a 16:45,Avenida Awajun 751 Centro Poblado Chiriaco
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,ORA HOSPITAL REGIONAL VIRGEN DE FATIMA (MINSA),OPERATIVO,08:45 a 16:30,Pasaje Daniel Alcides Carrión N° 035
AMAZONAS,BAGUA,BAGUA,ORA HOSPITAL DE APOYO GUSTAVO LANATTA LUJAN (MINSA),OPERATIVO,08:45 a 16:30,Avenida Héroes de Cenepa N°980
CAJAMARCA,JAEN,JAEN,ORA HOSPITAL GENERAL DE JAEN (MINSA),OPERATIVO,08:45 a 16:30,Prolongación Huamantanga s/n
AMAZONAS,BAGUA,IMAZA,ORA CHIRIACO (MINSA),OPERATIVO,08:45 a 16:30,Calle Junin S/N
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,ORA HOSPITAL DE APOYO SANTIAGO APOSTOL DE UTCUBAMBA (MINSA),OPERATIVO,08:45 a 16:30,Jirón San Felipe Santiago N°111
CAJAMARCA,SAN IGNACIO,SAN IGNACIO,ORA SAN IGNACIO (MINSA),OPERATIVO,08:45 a 16:30,"Avenida Abelardo Quiñones S/N, Sector Santiago"
AMAZONAS,BONGARA,FLORIDA,ORA POMACOCHAS (MINSA),OPERATIVO,08:45 a 16:30,Jirón Pomacochas S/N
AMAZONAS,CONDORCANQUI,NIEVA,ORA SANTA MARIA DE NIEVA (MINSA),OPERATIVO,08:45 a 16:30,Jirón Javier Pérez de Cuellar S/N Mz. N Lt. 03 Asent.Humano Héctor Peas Tsegkuan
AMAZONAS,UTCUBAMBA,LONYA GRANDE,ORA LONYA GRANDE (MINSA),OPERATIVO,08:45 a 16:30,Jirón Alto Amazonas 340
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,ORA GALILEA (MINSA),OPERATIVO,08:45 a 16:30,Jirón La Amistad S/N
CUSCO,CANCHIS,SICUANI,AG CANCHIS,OPERATIVO,08:45 a 16:45,Avenida Túpac Amaru N° 163
