,,,,,,,,,,,,,,,,,,,,,,,,146
88,581,SAN MARTIN,MOYOBAMBA ,MOYOBAMBA,,,,03.- TARAPOTO,AGENCIA,AG,AG MOYOBAMBA,08:45 a 16:45,,Jirón Dos de Mayo Mz. 1530 Lt. 14 (837),OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
89,582,SAN MARTIN,HUALLAGA,SAPOSOA,,,,03.- TARAPOTO,AGENCIA,AG,AG HUALLAGA,08:45 a 16:45,,Jirón Lima N° 591,OPERATIVO,SI,NO,SI,SI,SI,NO,SI,SI,NO
90,583,SAN MARTIN,LAMAS,LAMAS,,,,03.- TARAPOTO,AGENCIA,AG,AG LAMAS,08:45 a 16:45,,Jirón San Martín N° 984,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
91,584,SAN MARTIN,MARISCAL CACERES,JUANJUI,,,,03.- TARAPOTO,AGENCIA,AG,AG MARISCAL CACERES,08:45 a 16:45,,Jirón Eduardo Peña Meza N° 772 ,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
92,585,SAN MARTIN,RIOJA,RIOJA,,,,03.- TARAPOTO,OFICINA REGISTRAL,OR,OR RIOJA,08:45 a 16:45,,Jirón Angaiza N° 530,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI
93,586,SAN MARTIN,SAN MARTIN ,TARAPOTO,,,,03.- TARAPOTO,OFICINA REGISTRAL,OR,OR TARAPOTO,08:45 a 16:45,,Jirón Jiménez Pimentel N° 280 ,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI
94,587,SAN MARTIN,BELLAVISTA,BELLAVISTA,,,,03.- TARAPOTO,AGENCIA,AG,AG BELLAVISTA,08:45 a 16:45,,Jirón Huallaga - Iquitos Mz. 7 Lt. 27 - A.  1er. Piso,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
95,589,SAN MARTIN,PICOTA,PICOTA,,,,03.- TARAPOTO,AGENCIA,AG,AG PICOTA,08:45 a 16:45,,"Jirón Simón Bolívar, cuadra 4",OPERATIVO,SI,NO,SI,SI,SI,NO,SI,SI,NO
96,590,SAN MARTIN,EL DORADO ,SAN JOSE DE SISA,,,,03.- TARAPOTO,AGENCIA,AG,AG EL DORADO,08:45 a 16:45,,Jirón Comercio N° 610,OPERATIVO,NO,NO,SI,SI,SI,NO,NO,NO,NO
97,601,LORETO,DATEM DEL MARAÑON,BARRANCA,,,,03.- TARAPOTO,OFICINA REGISTRAL AUXILIAR,ORA,ORA SAN LORENZO - NUCLEO BASE (MINSA),08:45 a 16:30,,Barrio Daniel Alcides Carrión S/N - Barrio Huacachina,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO
98,612,SAN MARTIN,SAN MARTIN ,LA BANDA DE SHILCAYO,,,,03.- TARAPOTO,AGENCIA,AG,AG LA BANDA DE SHILCAYO,08:45 a 16:45,,Jirón Yurimaguas N° 340,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
99,632,SAN MARTIN,MARISCAL CACERES,JUANJUI,,,,03.- TARAPOTO,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL JUANJUI (MINSA),08:45 a 16:30,,Jirón Arica N° 205,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO
100,658,SAN MARTIN,RIOJA,RIOJA,,,,03.- TARAPOTO,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL DE RIOJA (MINSA),08:45 a 16:30,,Jirón Túpac Amaru S/N,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO
101,509,LORETO,ALTO AMAZONAS,LAGUNAS,,,,03.- TARAPOTO,AGENCIA,AG,AG LAGUNAS,08:45 a 16:45,,Jirón FITZCARRALD C-9,OPERATIVO,SI,NO,SI,SI,SI,NO,NO,NO,NO
102,983,SAN MARTIN,SAN MARTIN,MORALES,,,,03.- TARAPOTO,PUNTO DE ATENCION NO PERMANENTE,PANP,PANP MORALES,08:45 a 16:45,,Jirón Tarapoto N° 116 Plaza de Armas,OPERATIVO,SI,NO,SI,SI,SI,NO,SI,SI,NO
103,603,LORETO,ALTO AMAZONAS,YURIMAGUAS,,,,03.- TARAPOTO,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL SANTA GEMA YURIMAGUAS (MINSA),08:45 a 16:30,,CALLE HUALLAGA  C-4,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO
104,55,LORETO,MAYNAS,PUNCHANA,,,,04.- IQUITOS,OFICINA REGISTRAL AUXILIAR,ORA,"ORA HOSPITAL REGIONAL DE LORETO ""FELIPE ARRIOLA IGLESIAS""",08:45 a 16:30,,Avenida 28 de Julio S/N,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
105,85,LORETO,MAYNAS,IQUITOS,,,,04.- IQUITOS,OFICINA REGISTRAL AUXILIAR,ORA,"ORA HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""",08:45 a 16:30,,Calle Cornejo Portugal 1710,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
106,332,LORETO,MAYNAS,BELÉN,,,,04.- IQUITOS,OFICINA REGISTRAL,OR,OR BELEN,08:45 a 16:45,,Calle Miraflores S/N P. J. 09 de Octubre,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,NO
107,431,LORETO,MAYNAS,IQUITOS,,,,04.- IQUITOS,OFICINA REGISTRAL,OR,OR IQUITOS,08:45 a 16:45,,Jirón Próspero Nº 201,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI
108,433,LORETO,LORETO,NAUTA,,,,04.- IQUITOS,PUNTO DE ATENCION PERMANENTE,PAP,PAP NAUTA,08:45 a 16:45,,Cal. Manuel Pacaya N° 570 centro cívico,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,NO
109,434,LORETO,REQUENA,REQUENA,,,,04.- IQUITOS,PUNTO DE ATENCION PERMANENTE,PAP,PAP REQUENA,08:45 a 16:45,,Calle San Antonio S/N Anexo Hotel Municipal,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,NO
110,436,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,,,,04.- IQUITOS,PUNTO DE ATENCION PERMANENTE,PAP,PAP MARISCAL RAMON CASTILLA - CABALLOCOCHA,08:45 a 16:45,,Calle Ayacucho Mz. 22 Lt. 4 C con Amazonas S/N - Local Municipal,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,NO
111,438,LORETO,MAYNAS,SAN JUAN BAUTISTA,,,,04.- IQUITOS,OFICINA REGISTRAL,OR,OR SAN JUAN BAUTISTA,08:45 a 16:45,,Avenida Abelardo Quiñones Nº 2371 Km. 2.5 ,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,NO
112,439,LORETO,MARISCAL RAMON CASTILLA,YAVARI,,,,04.- IQUITOS,PUNTO DE ATENCION PERMANENTE,PAP,PAP YAVARI,08:45 a 16:45,,Calle Nueva Jerusalen S/N Local Municipal,OPERATIVO,NO,SI,SI,SI,SI,NO,NO,NO,NO
113,440,LORETO,PUTUMAYO,PUTUMAYO,,,,04.- IQUITOS,PUNTO DE ATENCION PERMANENTE,PAP,PAP PUTUMAYO,08:45 a 16:45,,Calle Arequipa S/N,OPERATIVO,NO,SI,SI,SI,SI,NO,NO,NO,NO
114,449,LORETO,MAYNAS,PUNCHANA,,,,04.- IQUITOS,PUNTO DE ATENCION PERMANENTE,PAP,PAP PUNCHANA,08:45 a 16:45,,"Calle Cusco S/N, cuadra 5, esquina con Trujillo.",OPERATIVO,SI,SI,SI,SI,SI,NO,SI,NO,NO
115,645,LORETO,REQUENA,REQUENA,,,,04.- IQUITOS,OFICINA REGISTRAL AUXILIAR,ORA,ORA REQUENA,08:45 a 16:30,,Calle Mártires del Petroléo S/N - Malecon Grau,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
116,711,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,,,,04.- IQUITOS,OFICINA REGISTRAL AUXILIAR,ORA,ORA CABALLOCOCHA,08:45 a 16:30,,Calle Progreso N° 425,OPERATIVO,si,SI,NO,SI,SI,SI,NO,NO,NO
117,806,LORETO,MAYNAS,PUNCHANA,,,,04.- IQUITOS,MEJOR ATENCION AL CIUDADANO,MAC,MAC - LORETO,08:30 a 16:30,,Avenida La Marina Nº  1338,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,NO
118,600019,LORETO,MAYNAS,IQUITOS,,,,04.- IQUITOS,AGENTE RENIEC,AGENTE,AGENTE RENIEC - OR IQUITOS,08:45 a 16:45,,Jirón Próspero Nº 201,OPERATIVO,NO,SI,SI,NO,NO,NO,SI,NO,NO
119,339,LORETO,PUTUMAYO,TENIENTE MANUEL CLAVERO,,,,04.- IQUITOS,PUNTO DE ATENCION NO PERMANENTE,PANP,PANP SOPLIN VARGAS,08:45 a 16:45,,Plaza de armas S/N,OPERATIVO,NO,SI,SI,SI,SI,NO,NO,NO,NO
120,001204,LORETO,MARISCAL RAMON CASTILLA,SANTA ROSA DE LORETO,,,,04.- IQUITOS,PUNTO DE ATENCIÓN PERMANENTE,PAP,PAP SANTA ROSA DE LORETO ,08:45 a 16:45,,Calle mi Perú S/N,OPERATIVO,NO,SI,SI,SI,SI,NO,NO,NO,NO
121,33,ANCASH,SANTA,CHIMBOTE,,,,05.- CHIMBOTE,OFICINA REGISTRAL,OR,OR SANTA,08:45 a 16:45,,Jirón Enrique Palacios Nº 504-506 esquina con Jr. Ladislao Espinar Nº 401,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI
122,,ANCASH,SANTA,CHIMBOTE,,,,05.- CHIMBOTE,AGENTE RENIEC,AGENTE,AGENTE RENIEC - MEGA PLAZA CHIMBOTE,08:45 a 16:45,," Mz. B Lt. 1-A-1-A2 Sector Parque Gran Chavín, Centro Comercial Megaplaza Chimbote",OPERATIVO,NO,NO,NO,NO,NO,NO,SI,SI,NO
123,1182,ANCASH,SANTA,CHIMBOTE,,,,05.- CHIMBOTE,MEJOR ATENCION AL CIUDADANO,MAC,MAC - ANCASH,08:30 a 16:30,," Mz. B Lt. 1-A-1-A2 Sector Parque Gran Chavín, Centro Comercial Megaplaza Chimbote",OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
124,137,ANCASH,SANTA,NUEVO CHIMBOTE,,,,05.- CHIMBOTE,AGENCIA,AG,AG NUEVO CHIMBOTE,08:45 a 16:45,, Mz. 74-75 Lt. 1 del Centro Cívico de la Municipalidad Distrital de Nuevo Chimbote,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
125,21,ANCASH,HUARAZ,HUARAZ,,,,05.- CHIMBOTE,AGENCIA,AG,AG HUARAZ,08:45 a 16:45,,"Jirón Agustin Loly N° 756, Mz. 29A Lt. 27, Barrio La Soledad Alta, intersección con Jr. Agustin Mejía",OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
126,27,ANCASH,HUAYLAS,CARAZ,,,,05.- CHIMBOTE,AGENCIA,AG,AG HUAYLAS,08:45 a 16:45,,Jirón Raimondi N° 215,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
127,28,ANCASH,HUARI,HUARI,,,,05.- CHIMBOTE,AGENCIA,AG,AG HUARI,08:45 a 16:45,,Jirón Libertad Mz. P2 Lt. 003,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
128,31,ANCASH,POMABAMBA,POMABAMBA,,,,05.- CHIMBOTE,AGENCIA,AG,AG POMABAMBA,08:45 a 16:45,,Jirón Huaraz Nº 369,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
129,34,ANCASH,SIHUAS,SIHUAS,,,,05.- CHIMBOTE,AGENCIA,AG,AG SIHUAS,08:45 a 16:45,,"Jirón Gomes Arias 106, Barrio Pingullo Alto",OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
130,518,ANCASH,PALLASCA,PAMPAS,,,,05.- CHIMBOTE,AGENCIA,AG,AG PAMPAS,08:45 a 16:45,,Calle Plaza de Armas S/N - Municipalidad Distrital de Pampas - 1er piso,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,NO
131,25,ANCASH,CASMA,CASMA,,,,05.- CHIMBOTE,PUNTO DE ATENCION PERMANENTE,PAP,PAP CASMA,08:45 a 16:45,, Sector Hijuela Mz. C Lt. 13 del Centro Cívico de la Municipalidad Provincial de Casma,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,NO
132,39,ANCASH,HUARMEY,HUARMEY,,,,05.- CHIMBOTE,PUNTO DE ATENCION PERMANENTE,PAP,PAP HUARMEY,08:45 a 16:45,, 1er. Pabellón S/N del Centro Cívico de la Municipalidad Provincial de Huarmey,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,NO
133,32,ANCASH,RECUAY,RECUAY,,,,05.- CHIMBOTE,PUNTO DE ATENCION PERMANENTE,PAP,PAP RECUAY,08:45 a 16:45,,Calle Plaza de Armas Nº 180 Municipalidad Distrital de Recuay,OPERATIVO,SI,NO,SI,SI,SI,NO,SI,SI,NO
134,24,ANCASH,CARHUAZ,CARHUAZ,,,,05.- CHIMBOTE,PUNTO DE ATENCION PERMANENTE,PAP,PAP CARHUAZ,08:45 a 16:45,,Avenida La Merced Nº 1006,OPERATIVO,SI,SI,SI,SI,SI,NO,NO,NO,NO
135,35,ANCASH,YUNGAY,YUNGAY,,,,05.- CHIMBOTE,PUNTO DE ATENCION PERMANENTE,PAP,PAP YUNGAY,08:45 a 16:45,,Avenida Arias Grazziani Lt. 1-2 Centro Cívico de la Municipalidad Provincial de Yungay,OPERATIVO,SI,NO,SI,SI,SI,NO,NO,NO,NO
136,37,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,,,,05.- CHIMBOTE,PUNTO DE ATENCION PERMANENTE,PAP,PAP CARLOS FERMÍN FITZCARRALD,08:45 a 16:45,,Avenida Ramón Castilla N° 320 - 1er. piso Centro Cívico de la Municipalidad Provincial de C. F. Fitzcarrald,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,NO
137,29,ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,,,,05.- CHIMBOTE,PUNTO DE ATENCION PERMANENTE,PAP,PAP MARISCAL LUZURIAGA,08:45 a 16:45,,"Jirón San Pablo S/N, Centro Cívico de la Municipalidad Provincial de Mariscal Luzuriaga",OPERATIVO,SI,NO,SI,SI,SI,NO,SI,SI,NO
138,140,ANCASH,SANTA,CHIMBOTE,,,,05.- CHIMBOTE,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL LA CALETA (Chimbote),08:45 a 16:30,,Avenida Malecon Grau S/N,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
139,57,ANCASH,SANTA,CHIMBOTE,,,,05.- CHIMBOTE,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL ESSALUD III CHIMBOTE,08:45 a 16:30,,Avenida Circunvalación Nº 119 Urb. Laderas del Norte,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
140,56,ANCASH,SANTA,NUEVO CHIMBOTE,,,,05.- CHIMBOTE,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL ELEAZAR GUZMÁN BARRÓN (Nuevo Chimbote),08:45 a 16:30,,"Avenida Brasil S/N, Urb. Santa Cristina (Hospital Regional Eleazar Guzmán Barrón puerta de Emergencia)",OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
141,295,ANCASH,HUARAZ,HUARAZ,,,,05.- CHIMBOTE,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL VÍCTOR RAMOS GUARDIA (Huaraz),08:45 a 16:30,,"Avenida Mariscal Luzuriaga cdra. 01, cruce con Jr. Pedro Villón cdra. 10",OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
142,595,ANCASH,HUAYLAS,CARAZ,,,,05.- CHIMBOTE,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL DE APOYO CARAZ,08:45 a 16:30,,Avenida 9 de Octubre S/N,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
143,748,ANCASH,HUARI,HUARI,,,,05.- CHIMBOTE,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL DE APOYO HUARI,08:45 a 16:30,,Avenida Circunvalación Baja S/N,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
144,26,ANCASH,CORONGO,CORONGO,,,,05.- CHIMBOTE,PUNTO DE ATENCION NO PERMANENTE,PANP,PANP CORONGO,08:45 a 16:45,,"Jirón Grau N° 206, primer piso de la Municipalidad Provincial de Corongo",DESPLAZAMIENTO,NO,NO,SI,SI,SI,NO,NO,NO,NO
145,30,ANCASH,PALLASCA,CABANA,,,,05.- CHIMBOTE,PUNTO DE ATENCION NO PERMANENTE,PANP,PANP PALLASCA,08:45 a 16:45,,"Avenida Plaza de Armas N° 103, primer piso de la Municipalidad Provincial de Pallasca",DESPLAZAMIENTO,NO,NO,SI,SI,SI,NO,NO,NO,NO
146,22,ANCASH,AIJA,AIJA,,,,05.- CHIMBOTE,PUNTO DE ATENCION NO PERMANENTE,PANP,PANP AIJA,08:45 a 16:45,,"Jirón Gavino Uribe S/N Plaza de Armas, 1er piso de la Municipalidad Provincial de Aija",DESPLAZAMIENTO,NO,NO,SI,SI,SI,NO,NO,NO,NO
147,23,ANCASH,BOLOGNESI,CHIQUIAN,,,,05.- CHIMBOTE,PUNTO DE ATENCION NO PERMANENTE,PANP,PANP BOLOGNESI,08:45 a 16:45,,"Jirón Tacna 320, primer piso del Centro Cívico de la Municipalidad Distrital de Chiquian",DESPLAZAMIENTO,NO,NO,SI,SI,SI,NO,NO,NO,NO
148,741,ANCASH,YUNGAY,YANAMA,,,,05.- CHIMBOTE,AGENCIA,AG,AG YANAMA,08:45 a 16:45,,Jirón Yungay S/N cdra. 03,DESPLAZAMIENTO,NO,NO,SI,SI,SI,NO,NO,NO,NO
149,470,ANCASH,MARISCAL LUZURIAGA,LLUMPA,,,,05.- CHIMBOTE,PUNTO DE ATENCION NO PERMANENTE,PANP,PANP LLUMPA,08:45 a 16:45,, Plaza de Armas S/N,DESPLAZAMIENTO,NO,NO,SI,SI,SI,NO,NO,NO,NO
150,38,ANCASH,ASUNCION,CHACAS,,,,05.- CHIMBOTE,PUNTO DE ATENCION NO PERMANENTE,PANP,PANP ASUNCIÓN,08:45 a 16:45,,Jirón Coliseo de Chacas S/N,DESPLAZAMIENTO,NO,NO,SI,SI,SI,NO,NO,NO,NO
151,714,ANCASH,HUARI,CHAVIN DE HUANTAR,,,,05.- CHIMBOTE,PUNTO DE ATENCION NO PERMANENTE,PANP,PANP CHAVÍN DE HUANTAR,08:45 a 16:45,,"Jirón San Martin S/N, 1er piso del Centro Cívico de la Municipalidad Distrital de Chavin de Huantar",DESPLAZAMIENTO,NO,NO,SI,SI,SI,NO,NO,NO,NO
152,715,ANCASH,HUARI,SAN MARCOS,,,,05.- CHIMBOTE,PUNTO DE ATENCION NO PERMANENTE,PANP,PANP SAN MARCOS ,08:45 a 16:45,,"Jirón Progreso 332, Plaza de Armas de San Marcos",DESPLAZAMIENTO,NO,NO,SI,SI,SI,NO,NO,NO,NO
153,249,ANCASH,HUACAYBAMBA,HUACAYBAMBA,,,,05.- CHIMBOTE,PUNTO DE ATENCION NO PERMANENTE,PANP,PANP HUACAYBAMBA,08:45 a 16:45,,"Avenida El Ejercito S/N Barrio San Pedro, 1er piso Municipalidad Provincial de Huacaybamba",DESPLAZAMIENTO,NO,NO,SI,SI,SI,NO,NO,NO,NO
154,36,ANCASH,ANTONIO RAIMONDI,LLAMELLIN,,,,05.- CHIMBOTE,PUNTO DE ATENCION NO PERMANENTE,PANP,PANP ANTONIO RAIMONDI,08:45 a 16:45,,Jirón Simón Bolívar N° 229,DESPLAZAMIENTO,NO,NO,SI,SI,SI,NO,NO,NO,NO
155,766,ANCASH,HUARI,UCO,,,,05.- CHIMBOTE,PUNTO DE ATENCION NO PERMANENTE,PANP,PANP UCO,08:45 a 16:45,,"Jirón Nicolas de Piérola S/N Plaza de Armas, 1er piso de la Municipalidad Distrital de Uco",DESPLAZAMIENTO,NO,NO,SI,SI,SI,NO,NO,NO,NO
156,281,JUNIN,HUANCAYO,EL TAMBO,,,,06.- HUANCAYO,OFICINA REGISTRAL,OR,OR HUANCAYO,08:45 a 16:45,,AVENIDA MARISCAL CASTILLA Nº 1801,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
157,285,JUNIN,TARMA,TARMA,,,,06.- HUANCAYO,AGENCIA,OR,OR TARMA,08:45 a 16:45,,JIRÓN AREQUIPA Nº 939,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
158,288,JUNIN,CHANCHAMAYO,LA MERCED,,,,06.- HUANCAYO,AGENCIA,OR,OR CHANCHAMAYO,08:45 a 16:45,,PROLONGACIÓN TARMA Nº 242,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
159,146,JUNIN,SATIPO,PANGOA,,,,06.- HUANCAYO,PUNTO DE ATENCION PERMANENTE,PAP,PAP PANGOA,08:45 a 16:45,,CALLE 07 DE JUNIO Nº 641 PLAZA PRINCIPAL CENTRO CIVICO,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
160,279,JUNIN,SATIPO,MAZAMARI,,,,06.- HUANCAYO,PUNTO DE ATENCION PERMANENTE,PAP,PAP MAZAMARI,08:45 a 16:45,,AVENIDA SAN JUAN N° 377,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
161,282,JUNIN,CONCEPCION,CONCEPCIÓN,,,,06.- HUANCAYO,PUNTO DE ATENCION PERMANENTE,PAP,PAP CONCEPCIÓN,08:45 a 16:45,,JIRÓN RICARDO PALMA S/N MERCADO MODELO INTERIOR 1 ,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
162,283,JUNIN,JAUJA,JAUJA,,,,06.- HUANCAYO,PUNTO DE ATENCION PERMANENTE,PAP,PAP JAUJA,08:45 a 16:45,,JIRÓN SUCRE N° 889,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
163,284,JUNIN,JUNIN,JUNIN,,,,06.- HUANCAYO,PUNTO DE ATENCION PERMANENTE,PAP,PAP JUNIN,08:45 a 16:45,,JIRÓN SIMÓN BOLIVAR N° 820,OPERATIVO,SI,NO,SI,SI,SI,NO,SI,SI,NO
164,286,JUNIN,YAULI,SANTA ROSA DE SACCO,,,,06.- HUANCAYO,PUNTO DE ATENCION PERMANENTE,PAP,PAP YAULI,08:45 a 16:45,,AVENIDA MIGUEL GRAU N° 309,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
165,287,JUNIN,SATIPO,SATIPO,,,,06.- HUANCAYO,PUNTO DE ATENCION PERMANENTE,PAP,PAP SATIPO,08:45 a 16:45,,AVENIDA MICAELA BASTIDAS 747 - INT. 1A - CENTRO CIVICO,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
166,289,JUNIN,CHUPACA,CHUPACA,,,,06.- HUANCAYO,PUNTO DE ATENCION PERMANENTE,PAP,PAP CHUPACA,08:45 a 16:45,,JIRÓN GRAU N° 195 - CENTRO CÍVICO,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
167,292,JUNIN,CHANCHAMAYO,PICHANAQUI,,,,06.- HUANCAYO,PUNTO DE ATENCION PERMANENTE,PAP,PAP PICHANAQUI,08:45 a 16:45,,JIRÓN INDEPENDENCIA S/N COLISEO MUNICIPAL,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
168,215,JUNIN,HUANCAYO,HUANCAYO,,,,06.- HUANCAYO,OFICINA REGISTRAL AUXILIAR,ORA,"ORA REGIONAL DOCENTE MATERNO INFANTIL ""EL CARMEN""",08:45 a 16:30,,JIRÓN PUNO Nº 911,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO
169,733,JUNIN,TARMA,TARMA,,,,06.- HUANCAYO,OFICINA REGISTRAL AUXILIAR,ORA,ORA DE APOYO FELIX MAYORCA SOTO,08:45 a 16:30,,AVENIDA PACHECO Nº 362,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO
170,734,JUNIN,JAUJA ,JAUJA ,,,,06.- HUANCAYO,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL DOMINGO OLAVEGOYA,08:45 a 16:30,,JIRÓN SAN MARTÍN Nº 1153 URB. OLAVEGOYA ,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO
171,735,JUNIN,SATIPO,SATIPO,,,,06.- HUANCAYO,OFICINA REGISTRAL AUXILIAR,ORA,ORA DE APOYO MANUEL HIGA ARAKAKI,08:45 a 16:30,,CALLE DANIEL ALCIDES CARRIÓN Nº 398,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO
172,736,JUNIN,CHANCHAMAYO ,PICHANAQUI,,,,06.- HUANCAYO,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL DE APOYO PICHANAQUI,08:45 a 16:30,,AVENIDA SAN MARTÍN S/N PICHANAKI,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO
173,763,JUNIN,HUANCAYO,HUANCAYO,,,,06.- HUANCAYO,OFICINA REGISTRAL AUXILIAR,ORA,ORA LA LIBERTAD,08:45 a 16:30,,AV. ALAMEDA S/N. COOP. SANTA ISABEL ,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO
174,764,JUNIN,CHANCHAMAYO,LA MERCED,,,,06.- HUANCAYO,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL REGIONAL DOCENTE DE MEDICINA TROPICAL DR. JULIO DEMARINI CARO,08:45 a 16:30,,AVENIDA DANIEL A. CARRION S/N AV. PAMPA DEL CARMEN S/N,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO
175,142,JUNIN,HUANCAYO,EL TAMBO,,,,06.- HUANCAYO,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL NACIONAL RAMIRO PRIALE,08:45 a 16:30,,AVENIDA INDEPENDENCIA Nº 266,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO
176,737,JUNIN,SATIPO,PANGOA,,,,06.- HUANCAYO,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL DE PANGOA,08:45 a 16:30,,AVENIDA LA CULTURA S/N,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO
177,765,JUNIN,HUANCAYO,CHILCA,,,,06.- HUANCAYO,OFICINA REGISTRAL AUXILIAR,ORA,ORA CHILCA,08:45 a 16:30,,JIRÓN HUMBOLT Nº 900,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO
178,1129,JUNIN,HUANCAYO,HUANCAYO,,,,06.- HUANCAYO,MEJOR ATENCION AL CIUDADANO,MAC,MAC - JUNIN,08:30 a 16:30,,AVENIDA FERROCARRIL N° 146 - 150 - CENTRO COMERCIAL MALL PLAZA,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
179,600017,JUNIN,HUANCAYO,EL TAMBO,,,,06.- HUANCAYO,AGENTE RENIEC,AGENTE,AGENTE RENIEC - OR HUANCAYO,08:45 a 16:45,,AVENIDA MARISCAL CASTILLA Nº 1801,OPERATIVO,NO,NO,SI,NO,NO,NO,SI,NO,NO
